doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1007/s11192-026-05673-3,Technology fusion forecasting research via temporal hypergraph link prediction,Wei Hu; Shuying Li; Ning Yang,,,Scientometrics,2026-07-05,journal-article,https://doi.org/10.1007/s11192-026-05673-3,1588-2861,Scientometrics,INNOV,Springer Nature,4,4,4
10.1177/01492063261461210,Movements and Main Street: The Interplay Between Social Movement Framing and Small Businesses’ Responses,Ace Beorchia; Timothy G. Pollock; David Gras,Kennesaw State University; University of Tennessee,"Drawing on framing theory, we theorize how social movements affect social movement–driven small businesses over a movement’s lifecycle. We propose three social movement–driven small business types—originals, casual converts, and zealot converts—and argue that social movements’ diagnostic, prognostic, and motivational frames will affect these businesses differently during different stages of the social movement’s life cycle. Specifically, we explore the degree to which they integrate the social movement’s values into their businesses during different movement stages, their financial outcomes, the extent to which they contribute to the social movement, and whether they maintain or abandon their value integration post-movement. Our theory highlights the ripple effects that social movements can have on firms that are not the movement’s direct targets and enhances our understanding of the relationship between social movements and small businesses in markets unrelated to the social movement.",Journal of Management,2026-07-04,journal-article,https://doi.org/10.1177/01492063261461210,1557-1211,Journal of Management,ETHICS-CSR-MAN,SAGE,4*,4*,4*
10.1007/s11192-026-05698-8,Six flagship scientometric journals from a bibliometric perspective,Gergely Ferenc Lendvai; Péter Sasvári,,"Abstract The present study offers a comprehensive bibliometric assessment of six flagship scientometric journals, namely, Scientometrics, Journal of Informetrics, Quantitative Science Studies, Journal of Information Science, Research Evaluation, and Publications, covering the 2014–2023 period. The examined journals were selected for their leading role in the distribution of scientometrics research as well as their thematic centrality, citation performance, and publisher diversity within the field. Our study aims to compare productivity and citation impact patterns, evaluate citation-based prestige metrics such as the Scimago Journal Rank (SJR) and Field-Weighted Citation Impact (FWCI), and quantify country-level concentration of publication output and citation impact across the geography of contribution. Data were extracted using Scopus and SciVal, yielding metadata on 6,471 publications. We employed bibliometric methods to analyze the journals’ performance including statistical analyses of publication metrics, citation analysis as well as the examination of internationalization practices of these journals. Analyses revealed notable disparities in output volume and citation distribution, with evidence of the Matthew effect and citation inequality across journals. Scientometrics is the most productive journal in the set, the Journal of Informetrics and Quantitative Science Studies lead the elite citation indicators, and lower-ranked outlets, such as MDPI’s Publications, draw their visibility largely from a small number of high-impact publications. Country-level analysis shows that contribution to these journals is strongly concentrated. Across 110 contributing countries, the top ten account for roughly three-fifths of publications and two-thirds of citations (publication Gini = 0.766; citation Gini = 0.792). Per-journal analysis reveals that the gap between citation and publication concentration varies by more than an order of magnitude across journals, from + 0.005 (JIS) to + 0.148 (QSS), indicating that journals differ markedly in how they convert publication access into citation reward.",Scientometrics,2026-07-04,journal-article,https://doi.org/10.1007/s11192-026-05698-8,1588-2861,Scientometrics,INNOV,Springer Nature,4,4,4
10.1007/s11192-026-05666-2,Predicting multi-technology convergence based on higher-order interactions in temporal hypergraphs,Ruiting Wang; Dongyuan Lu; Huawei Shan,,,Scientometrics,2026-07-04,journal-article,https://doi.org/10.1007/s11192-026-05666-2,1588-2861,Scientometrics,INNOV,Springer Nature,4,4,4
10.1007/s11192-026-05691-1,Patent time-to-event and research capability analysis of biohydrogen production technology and applications,Roberto Louis Forestal; Su-Houn Liu,,,Scientometrics,2026-07-04,journal-article,https://doi.org/10.1007/s11192-026-05691-1,1588-2861,Scientometrics,INNOV,Springer Nature,4,4,4
