doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1007/s11192-026-05813-9,Evaluating the reliability of web of science citation function classification: evidence from manual annotation and large language models,Lin Zhang; Zhihan Wan; Ming Cheng; Shunshun Shi; Zhenyu Gou,,,Scientometrics,2026-09-18,journal-article,https://doi.org/10.1007/s11192-026-05813-9,1588-2861,Scientometrics,INNOV,Springer Nature,4,4,4
10.1287/opre.2024.0842,Prophet Inequalities for a New Class of Overbooking Problems in Container Shipping,Jacob Feldman; Yukai Huang; Panos Kouvelis,"Olin Business School, Washington University, Saint Louis, Missouri 63130; Sawyer Business School, Suffolk University, Boston, Massachusetts 02108","A New Class of Overbooking Problems in Container Shipping Industry Container carriers lose billions of dollars each year when shippers reserve slots but fail to show up with the corresponding cargo. This paper studies an online booking problem under a deposit-based mechanism designed to better align incentives and mitigate the costs of overbooking. The authors derive near-optimal online policies for two demand settings: one in which shippers’ no-show behavior is coupled through a spot market, and another in which no-shows are independent. In the coupled setting, a randomized threshold policy guarantees at least 81.9% of clairvoyant profit. In the independent setting, a simple greedy policy is shown to be asymptotically 0.5-optimal as the number of slots tends to infinity. Extensive simulations further demonstrate strong and robust practical performance.",Operations Research,2026-09-17,journal-article,https://doi.org/10.1287/opre.2024.0842,1526-5463,Operations Research,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1287/mnsc.2024.08449,Beyond Value: On the Role of Symmetry in Demand for Information,Aniol Llorente-Saguer; Santiago Oliveros; Ro’i Zultan,"School of Economics and Finance, Queen Mary University of London, London E1 4NS, United Kingdom; Department of Economics, University of Bristol, Bristol BS8 1TU, United Kingdom; Department of Economics, Ben-Gurion University of the Negev, Beer-Sheva 8410501, Israel","We study demand for symmetric and asymmetric information sources in the laboratory. Although participants respond to incentives and instrumental considerations, they exhibit a systematic bias towards symmetric sources. These patterns persist among individuals with higher cognitive abilities and better task comprehension, and they are not accounted for by their elicited subjective beliefs. This paper was accepted by Dorothea Kübler, behavioural economics and decision analysis. Funding: This project was supported by a British Academy/Leverhulme Small Research [Grant SG171679]. R. Z. acknowledges support from the Israel Science Foundation [Grant 524/24]. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2024.08449 .",Management Science,2026-09-17,journal-article,https://doi.org/10.1287/mnsc.2024.08449,1526-5501,Management Science,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1057/s41267-026-00896-1,The impact of migration and institutions on new business creation: integrating social capital theory and institutional theory,Dekuwmini Mornah; Raymond MacDermott; Felicia Naatu,,"Abstract Migration and remittances now shape entrepreneurial ecosystems across the developing world, yet their effects remain contradictory: financial remittances sometimes spur new ventures and sometimes suppress them, and emigrant stocks produce inconsistent outcomes across contexts. We help to resolve this puzzle by theorizing nonlinear relationships and institutional contingencies. Drawing on transnational social capital theory and institutional theory, we introduce Social Connectivity Capacity (SCC), the structural capacity of transnational networks to transmit entrepreneurially relevant knowledge, operationalized as the product of emigrant stocks and internet penetration. Panel analyses of 85 migrant-sending countries (2006–2020) show that financial remittances exhibit a convex, accelerating relationship with new business creation, while SCC follows an inverted U-shape. Formal institutional quality moderates both relationships: stronger governance amplifies remittance-driven entrepreneurship and shifts SCC's optimum rightward. Results are robust across GLS and panel-corrected-SE estimators and to log-transformation. These findings account for prior mixed evidence and show that migration's entrepreneurial effects depend jointly on remittance intensity, digital connectivity, and institutional context. Policymakers in migrant-sending countries can therefore strengthen entrepreneurial outcomes by calibrating diaspora engagement strategies to their specific combination of remittance intensity, digital infrastructure, and governance quality.",Journal of International Business Studies,2026-09-17,journal-article,https://doi.org/10.1057/s41267-026-00896-1,1478-6990,Journal of International Business Studies,IB&AREA,Springer Nature,4*,4*,4*
10.1057/s41267-026-00906-2,The historical evolution of international business: growth trajectory of an academic field of study,Niina Nummela,,,Journal of International Business Studies,2026-09-17,journal-article,https://doi.org/10.1057/s41267-026-00906-2,1478-6990,Journal of International Business Studies,IB&AREA,Springer Nature,4*,4*,4*
10.1037/apl0001429,Who do employees follow? An analysis of contrasting and compensatory effects between abusive supervisors in multiple team membership contexts.,Damian C. Zivic; Cristiano L. Guarana; Troy A. Smith; Michael Nugent; Gilad Chen,,,Journal of Applied Psychology,2026-09-17,journal-article,https://doi.org/10.1037/apl0001429,1939-1854,Journal of Applied Psychology,PSYCH (WOP-OB),APA,4*,4*,4*
10.1037/apl0001428,"Is the job-hopping penalty merited? Predicting selection decisions, turnover, and performance of job hoppers.",Jake T. Harrison; Emily D. Campion; Chad H. Van Iddekinge; Michael A. Campion; Carter Gibson; Andrew Barsa,,,Journal of Applied Psychology,2026-09-17,journal-article,https://doi.org/10.1037/apl0001428,1939-1854,Journal of Applied Psychology,PSYCH (WOP-OB),APA,4*,4*,4*
10.1037/apl0001399,How leaders respond to team time urgency diversity: A functional leadership perspective.,Jiaxin Xue; Jinghao Zhang; Yuhui Li; Gerben S. van der Vegt; Niannian Dong; Chenghao Men,,,Journal of Applied Psychology,2026-09-17,journal-article,https://doi.org/10.1037/apl0001399,1939-1854,Journal of Applied Psychology,PSYCH (WOP-OB),APA,4*,4*,4*
10.1037/apl0001419,Extrapolation in congruence research: A conceptual framework and diagnostic strategy.,Yongheng (Angus) Yao; Guangrui Guo,,,Journal of Applied Psychology,2026-09-17,journal-article,https://doi.org/10.1037/apl0001419,1939-1854,Journal of Applied Psychology,PSYCH (WOP-OB),APA,4*,4*,4*
10.1093/ej/ueag098,"Intergroup Contact, Empathy Education, and Refugee-Native Integration in Lebanon",Salma Mousa; Lennard Naumann; Alexandra Scacco,"University of California, Los Angeles; WZB Berlin Social Science Center; Humboldt University of Berlin; University of Hamburg","Abstract Intergroup contact interventions often yield limited results in deeply divided societies. We test contact and empathy education in Lebanon, where Syrian refugees comprise a quarter of the population. In a fully cross-randomised field experiment with 887 Lebanese and Syrian youth embedded in a psychosocial support programme, we find that contact has little effect on outgroup attitudes and behaviour, while empathy education consistently improves attitudes for Lebanese youth and behavioural engagement for both. The combined treatment achieves little beyond empathy alone, with no evidence of spillovers to parents (n = 595). In polarised settings, empathy education should precede — or replace — contact.",The Economic Journal,2026-09-17,journal-article,https://doi.org/10.1093/ej/ueag098,1468-0297,Economic Journal,ECON,Wiley-Blackwell,4,4,4
