doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1111/puar.70186,Restoring the Deformed Administrative State? Bureaucratic Repair After Illiberal Rule,Michael W. Bauer; Daniel Kovarek; Bárbara Motta; Andrzej Schultz,Florence School of Transnational Governance European University Institute Fiesole Italy; Universidade Federal de Sergipe São Cristóvão Brazil; Department of Social and Political Sciences European University Institute Fiesole Italy; Department of Law European University Institute Fiesole Italy,"ABSTRACT While scholarship has documented how populist and authoritarian‐leaning executives deform bureaucratic institutions, post‐illiberal reconstruction has only begun to receive attention. This paper develops an exploratory framework distinguishing four repair strategies (neutralizing, rectifying, balancing, and democratic hardening) and two repair modes (formal‐institutional and normative‐capacity repair). Applying the heuristic to Poland, Brazil, and Hungary, we posit that the selection and limits of repair strategies follow the gap between the depth of illiberal entrenchment and the legal‐political capacity of successor governments to overcome veto players and enact rectifying reforms. Within the periods observed, formal‐institutional repair has outpaced the reconstruction of professional norms, expertise, and trust, and repair has produced layered administrative orders in which illiberal‐era instruments partly persist and thus remain available to future governments. Administrative repair is thus structurally asymmetric. Democratic successors can rebuild the administrative state, but they are unlikely to restore it to the status quo ante.",Public Administration Review,2026-09-10,journal-article,https://doi.org/10.1111/puar.70186,1540-6210,Public Administration Review,PUB SEC,Wiley-Blackwell,4*,4*,4*
10.1287/opre.2025.1854,Mitigating Market Incompleteness with Minor Market Distortions: The Case of Negative Spot Prices for Electricity,Ibrahim Abada; Andreas Ehrenmann,"Grenoble Ecole de Management, 38000 Grenoble, France; ENGIE, 1000 Brussels, Belgium","How should policymakers mitigate investment risk in renewable electricity markets without undermining the efficiency of spot markets? Risk mitigation instruments can foster investment in financially incomplete markets but may distort operating incentives, contributing, for example, to increasingly frequent negative electricity prices. In Mitigating Market Incompleteness with Minor Market Distortions: The Case of Negative Spot Prices for Electricity, Ibrahim Abada and Andreas Ehrenmann develop a bi-level programming framework that explicitly incorporates these distortions when addressing market incompleteness. At the lower level, risk-averse agents make investment and operating decisions in an incomplete electricity market. At the upper level, a central planner optimally designs contracts for difference and price markups to maximize social welfare. The paper establishes an existence result, develops an algorithm for finding a solution, and applies the framework to a detailed numerical simulation inspired by the French power system. The results show that carefully designed risk mitigation instruments can enhance welfare while substantially limiting market distortions and the prevalence of negative prices.",Operations Research,2026-09-09,journal-article,https://doi.org/10.1287/opre.2025.1854,1526-5463,Operations Research,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1287/opre.2024.1250,Increasing Parents’ Engagement on EdTech Platforms: Evidence from the Field,Nishit Goyal; Alex Akira Okuno; Divya Singhvi; Somya Singhvi,"Rocket Learning, Delhi 110002, India; Leonard N. Stern School of Business, New York University, New York, New York 10012; Marshall School of Business, University of Southern California, Los Angeles, California 90089","Increasing Parents’ Engagement on EdTech Platforms: Evidence from the Field Simple, well-designed digital nudges can meaningfully increase parents’ participation in early childhood education, according to a large-scale study conducted with Rocket Learning in India. In “Increasing Parents’ Engagement on EdTech Platforms: Evidence from the Field,” Goyal, Okuno, Singhvi, and Singhvi examine peer- and self-comparison messages delivered through digital educational communities. In a randomized controlled trial involving nearly 154,000 parents, peer-comparison nudges increased the average number of parents active each day by 13.5%, whereas self-comparison nudges increased it by 8.0% relative to no nudge. Building on these insights, they develop a data-driven targeting policy that selects the nudge best suited to each parent. A second trial involving 122,000 parents shows that, whereas the targeting policy performs comparably to the best uniform policy on average, it identifies a substantial subgroup—8.8% of parents—for whom targeted nudging increases engagement by 5.4% over the uniform approach. The findings offer nonprofits and policymakers a scalable, low-cost tool for strengthening parental engagement, highlighting both the potential and limitations of personalized nudging.",Operations Research,2026-09-09,journal-article,https://doi.org/10.1287/opre.2024.1250,1526-5463,Operations Research,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1111/ehr.70154,Impacts of coal smoke on infant mortality: Evidence from industrializing Japan,Tatsuki Inoue,School of Commerce Meiji University Tokyo Japan,"Abstract This study investigates the health consequences of coal smoke during Japan's early industrialization. Using fixed‐effects models and a prefecture‐level panel dataset on actual coal consumption and infant mortality from 1899 to 1910, this study finds that higher coal consumption was positively associated with infant mortality. The baseline estimate suggests that a one‐standard‐deviation increase in the log of coal consumption was associated with approximately 2.1 additional infant deaths per 1000 live births, and that the growth in coal use was associated with an increase in infant mortality equivalent to approximately 11.8 per cent of the overall rise in infant mortality during the sample period. Further estimates using infant deaths by age interval show that this association was weak during the neonatal period but became more pronounced during the post‐neonatal period, particularly from 1 month to under 6 months after birth. These findings suggest that coal‐based industrialization carried health costs in a non‐Western industrializing economy and that the timing of pollution‐related infant mortality differed from that observed in modern contexts.",The Economic History Review,2026-09-09,journal-article,https://doi.org/10.1111/ehr.70154,1468-0289,Economic History Review,BUS HIST & ECON HIST,Wiley-Blackwell,4,4,4
10.1080/14719037.2026.2731444,Unlocking the transformative potential of design: reflections from practice on navigating barriers to designing for societal transformation,Geert Brinkman; Arwin van Buuren; Suzan Christiaanse; Irene Fierloos; Wiesje Korf,Erasmus University Rotterdam; University of Groningen; Tilburg University,,Public Management Review,2026-09-09,journal-article,https://doi.org/10.1080/14719037.2026.2731444,1471-9045,Public Management Review,PUB SEC,Taylor & Francis,4,4,3.0
10.1111/padm.70089,How Were Governance Pathways Formed for Public Service Co‐Production? A Contingency Perspective,Huanming Wang; Bing Ran,School of Public Administration and Policy Dalian University of Technology Dalian Liaoning Province China; School of Public Affairs Penn State Harrisburg Middletown Pennsylvania USA,"ABSTRACT This study addresses the under‐theorized formation of specific co‐production arrangements by exploring governance pathway formation. Using 76 community regeneration projects in Shanghai, we identify a parsimonious two‐level typology: State‐led co‐production (comprising sub‐type A: state as operator and sub‐type B: non‐state as operator ) and Citizen‐led co‐production (comprising sub‐type C: volunteers as operator and sub‐type D: users as operator ). Findings reveal pathway emergence is contingent upon configurations of providers' capabilities, citizen empowerment, political leadership, and public service characteristics, reflecting logics associated with Neo‐Weberian State, New Public Management, and New Public Governance paradigms. The study shifts focus from static lists to dynamic governance pathways by proposing a configurational contingency framework that explains how governance logics are activated by specific contextual conditions.",Public Administration,2026-09-09,journal-article,https://doi.org/10.1111/padm.70089,1467-9299,Public Administration,PUB SEC,Wiley-Blackwell,4,4,4
10.1080/01621459.2026.2730499,Bending the Learning Curve for EHR Research via Knowledge-Driven Online Multimodal Automated Phenotyping System,Xin Xiong; Sara Morini Sweet; Chuan Hong; Clara-Lea Bonzel; Vidul Ayakulangara Panickan; Doudou Zhou; Linshanshan Wang; William Meyerson; Lauren Costa; Yuk-Lam Ho; Alon Geva; Kenneth D. Mandl; Suchun Cheng; Isaac Kohane; Griffin Weber; J. Michael Gaziano; Michele Morris; Zongqi Xia; Kelly Cho; Katherine P. Liao; Tianrun Cai; Molei Liu; Tianxi Cai,Harvard T.H. Chan School of Public Health; Harvard Medical School; Duke University; National University of Singapore; Massachusetts General Hospital; VA Boston Healthcare System; Boston Children’s Hospital; Dana-Farber Cancer Institute; Brigham and Women’s Hospital; University of Pittsburgh; Peking University Health Science Center; Beijing International Center for Mathematical Research,,Journal of the American Statistical Association,2026-09-09,journal-article,https://doi.org/10.1080/01621459.2026.2730499,1537-274X,Journal of the American Statistical Association,ECON,Taylor & Francis,4,4,4
10.1093/jopart/muag029,Institutional Conversion and Digital Transformation in Local Governments: A Longitudinal Analysis of Trajectories,Adalmir de Oliveira Gomes,"University of Brasilia (UnB), Colina, Block H, Apartment 205, Darcy Ribeiro University Campus, Asa Norte , Brasília, Federal District, Brazil, Zip Code: 70904-108","Abstract This article asks a central question in digital government research: why do local governments operating under similar institutional conditions follow sharply different digital transformation trajectories over time? Drawing on theories of gradual institutional change, the study conceptualizes digital transformation not as a discrete adoption outcome, but as a process of institutional conversion through which technological capacity is translated into sustained digital service provision. Information governance is theorized as the key conditioning mechanism linking technological resources to durable organizational outcomes. The analysis combines longitudinal panel models, fixed-effects estimators, and trajectory-based clustering using a panel of all Brazilian municipalities (MUNIC/IBGE; N = 5,569) across seven waves between 2004 and 2024. Results show that increases in technological capacity are associated with subsequent gains in digital services, but these effects are gradual and conditional. Information governance significantly shapes how municipalities mobilize and stabilize technological resources over time, while interaction models reveal non-linear and diminishing returns consistent with institutional coordination limits. Trajectory analyses identify four distinct patterns of digital transformation, ranging from ‘institutionalized pioneers’ to ‘persistent stagnation’, demonstrating that digital development unfolds through path-dependent and institutionally anchored trajectories rather than through simple convergence. The article contributes to public administration research in three ways: provides rare longitudinal evidence on local digital transformation over two decades; integrates institutional change theory into digital government research by conceptualizing governance as a mechanism of institutional conversion; and advances a trajectory-based explanation of digital transformation that shifts attention from episodic technological adoption to cumulative institutional processes shaping long-run administrative performance.",Journal of Public Administration Research and Theory,2026-09-09,journal-article,https://doi.org/10.1093/jopart/muag029,1477-9803,Journal of Public Administration Research and Theory,PUB SEC,Oxford University Press,4,4,4
10.1080/07421222.2026.2714828,Correction,,,,Journal of Management Information Systems,2026-09-09,journal-article,https://doi.org/10.1080/07421222.2026.2714828,1557-928X,Journal of Management Information Systems,INFO MAN,Taylor & Francis,4,4,4
10.1080/07350015.2026.2718882,STRAP: Smooth Tests for Multivariate Homogeneity using Random Projections*,Shiyao Huang; Xiaojun Song,"Department of Business Statistics and Econometrics, Guanghua School of Management, Peking University",,Journal of Business &amp; Economic Statistics,2026-09-09,journal-article,https://doi.org/10.1080/07350015.2026.2718882,1537-2707,Journal of Business and Economic Statistics,ECON,Taylor & Francis,4,4,4
