doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1177/01492063261440210,Robustness Analysis in Quantitative Management Research: A Review and Recommendations,Shuai Yuan; Deanne N. Den Hartog; Yicun Liu; Annebel H.B. De Hoogh; Lujia (Sophia) Sun; Danqin Zhao; Katrin Riisla; Frank D. Belschak,University of Nottingham Ningbo China; University of Amsterdam Business School; Australian National University; University of Notre Dame; University of Warwick,"Robustness analysis assesses the fragility or stability of empirical findings by testing whether research findings remain stable across alternative, justifiable analytical choices. Understanding the robustness of empirical results is important both for management scholars to build reliable theories and for management practitioners to derive appropriate practical implications for decision-making. Yet, the management field currently faces three problems in designing and reporting robustness analysis: terminological confusion, fragmented recommendations across isolated topics without integration, and a lack of systematic evidence on actual reporting practices. This paper clarifies the concept of robustness analysis and distinguishes it from related credibility-enhancing practices. Using a framework encompassing six key dimensions of robustness (i.e., methods, measurements, covariates, preprocessing, subsampling, and statistical specifications), we review and synthesize the currently fragmented recommendations for each dimension. Next, to systematically review the reporting of robustness practices, we develop a hybrid Generative AI-assisted coding approach enabling the analysis of a larger volume of articles than feasible with human coding alone. In a systematic review of 1,706 articles containing 2,770 quantitative sub-studies published in seven leading management journals (2020–2025), we find that reporting of robustness analyses is often done narrowly and inconsistently, scattered across multiple article sections, and using different terms. Our findings reveal gaps between recommended and documented practices, between macro and micro domains, and across time periods. Based on the review results, we offer recommendations for conducting and reporting robustness analyses.",Journal of Management,2026-06-05,journal-article,https://doi.org/10.1177/01492063261440210,1557-1211,Journal of Management,ETHICS-CSR-MAN,SAGE,4*,4*,4*
10.1017/s0007680526101925,"Sovereign Skies: The Origins of American Civil Aviation Policy.
                    <i>By</i>
                    Sean Seyer. Baltimore: Johns Hopkins University Press, 2021. 312 pp. + 15 b&amp;w illus. Hardcover, $67.95. ISBN: 978-1-4214-4053-8.",Joseph Abel,Smithsonian National Air and Space Museum,,Business History Review,2026-06-05,journal-article,https://doi.org/10.1017/s0007680526101925,2044-768X,Business History Review,BUS HIST & ECON HIST,Cambridge University Press,4,4,4
10.1287/mnsc.2026.eb.v72n6,Editorial Board,,,,Management Science,2026-06-01,journal-article,https://doi.org/10.1287/mnsc.2026.eb.v72n6,1526-5501,Management Science,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
