doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1108/ijopm-02-2024-0107,A typology of crises and innovation configurations: a paradoxical perspective,Huashan Li; Renfei Gao; Anand Nair; Yang Yang,"Deakin Business School, Deakin University , ,; Alliance Manchester Business School, The University of Manchester , ,; D'Amore-McKim School of Business, Northeastern University Supply Chain and Information Management, , , ,; Business School, Harbin Institute of Technology , ,","Purpose This study aims to develop a new typology of crises to illuminate how firms manage different innovation configurations during them. From a paradoxical perspective, we integrate insights from problemistic search logic and threat-rigidity logic to theorize paradoxical innovation configurations within each type of crisis in our typology. Design/methodology/approach Based on time (imminent vs. latent) and space (internal vs. external) dimensions, we develop a typology of crises (i.e. imminent internal crises, latent internal crises, imminent external crises, and latent external crises). Using the configurational theorizing approach and case studies, we develop propositions for paradoxical innovation configurations within each type of crisis. Findings In the time dimension, imminent (latent) crises trigger short-term (long-term) innovation as the primary response, supplemented by long-term (short-term) innovation. In the space dimension, internal (external) crises require knowledge-deepening (knowledge-broadening) innovation as the primary response, supplemented by knowledge-broadening (knowledge-deepening) innovation. Overall, imminent internal crises foster short-term knowledge-deepening innovation as the primary approach, supplemented by long-term knowledge-broadening innovation; while latent external crises foster long-term knowledge-broadening innovation as the primary approach, supplemented by short-term knowledge-deepening innovation. For imminent external crises and latent internal crises, either configuration (short-term knowledge-deepening innovation supplemented by long-term knowledge-broadening innovation, or vice versa) is possible, and the specific choice depends on the slack resources available to firms. Originality/value Our study extends the literature on organizational crises by theorizing the coexistence of negative (i.e. survival threats) and positive (i.e. development opportunities) framing, which shapes firms' paradoxical innovation configurations as a response. In particular, we develop a new typology of crises to offer novel and fine-grained insights into the different innovation configurations under distinct types of crises.",International Journal of Operations &amp; Production Management,2026-06-24,journal-article,https://doi.org/10.1108/ijopm-02-2024-0107,1758-6593,International Journal of Operations and Production Management,OPS&TECH,Emerald,4,4,4
10.1111/puar.70156,Stimulating Pro‐Environmental Behavior Using Management Control: Survey Evidence From a City Government,Berend van der Kolk; Eelke Wiersma; Willemijn Odekerken,"School of Economics and Business, Vrije Universiteit Amsterdam Amsterdam the Netherlands; Gemeente Haarlem Haarlem the Netherlands","ABSTRACT This paper investigates how pro‐environmental behaviors (PEBs) of public sector employees can be stimulated using management control. We mobilize the theory of planned behavior to hypothesize that employee environmental concerns are associated with PEBs, and that this relation can be strengthened by management control instruments that provide structure and signals about prevailing norms. Using survey data from 151 public sector employees, we find support for most of our expectations. Specifically, our findings suggest that sustainability‐related output controls (e.g., sustainable performance budgets and accounting reports) can help employees to translate their environmental concerns into action through PEBs. Furthermore, we find that behavior controls (e.g., formats that incorporate sustainability and resilience‐enhancing action programs) positively associate with PEBs, regardless of employees' initial environmental concerns. Taken together, our findings have implications for public sector organizations seeking to stimulate employees to engage in more environmentally sustainable behaviors.",Public Administration Review,2026-06-23,journal-article,https://doi.org/10.1111/puar.70156,1540-6210,Public Administration Review,PUB SEC,Wiley-Blackwell,4*,4*,4*
10.1287/opre.2025.1936,Online Selection with Uncertain Disruption,Yihua Xu; Süleyman Kerimov; Sebastian Perez-Salazar,"Department of Computational Applied Mathematics and Operations Research, Rice University, Houston, Texas 77005; and Ken Kennedy Institute, Rice University, Houston, Texas 77005; Ken Kennedy Institute, Rice University, Houston, Texas 77005; and Jones Graduate School of Business, Rice University, Houston, Texas 77005","Online Selection with Uncertain Disruption Many digital and service platforms must decide whether to accept a current request or wait for a potentially better one. This trade-off becomes more challenging when serving a request may unexpectedly disrupt future operations. In the paper “Online Selection with Uncertain Disruption,” Yihua Xu, Süleyman Kerimov, and Sebastian Perez-Salazar introduce a model for such settings, where a decision maker observes values sequentially and each accepted value may trigger a disruption that stops the process. The paper develops simple threshold-based algorithms and evaluates them through competitive analysis against a clairvoyant benchmark that knows all values but still faces disruption uncertainty. The authors show that a nonadaptive single-threshold algorithm achieves the tight competitive ratio [Formula: see text], whereas adaptive threshold policies improve the asymptotic guarantee to approximately 0.745. The results connect disruption-aware online selection with classical prophet inequalities and quantify the value of adaptivity under operational uncertainty.",Operations Research,2026-06-22,journal-article,https://doi.org/10.1287/opre.2025.1936,1526-5463,Operations Research,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1287/mnsc.2024.04778,The Spillover Effect of Social Capital Along the Supply Chain: Evidence from the Cost of Debt,Yuyan Guan; Xing Li; Gerald J. Lobo; Haibin Wu,"Nanyang Business School, Nanyang Technological University, Singapore 639956; Faculty of Business for Science and Technology, School of Management, University of Science and Technology of China, Hefei 230026, China; C. T. Bauer College of Business, University of Houston, Houston, Texas 77004; College of Business, City University of Hong Kong, Hong Kong, China","Prior research indicates that social capital constrains opportunistic behavior and facilitates cooperation in bilateral relationships. We hypothesize that firms conducting business with high social capital customers are perceived by their banks as having lower supply chain risk and document a negative association between suppliers’ loan spreads and the social capital of their major customers. Our cross-sectional analyses show that the negative association is stronger when (1) suppliers make more relationship-specific investments or have weaker bargaining power; and (2) customers’ information environment is more opaque. Further analyses reveal that customers’ social capital has a positive impact on their supplier firms’ nonpricing loan terms. Taken together, our findings indicate that customers’ social capital engenders a spillover effect along the supply chain, enabling suppliers to enjoy lower borrowing costs and more favorable nonpricing loan terms by mitigating the hold-up risks they face. This paper was accepted by Ranjani Krishnan, accounting. Funding: Y. Guan received financial support from Nanyang Technological University [Start-up Grant 021234-00001]. X. Li received financial support from the National Natural Science Foundation of China [Grant 72302180] and the China Postdoctoral Science Foundation [Grants 2025T180187 and 2021M692542]. H. Wu received financial support from City University of Hong Kong. Supplemental Material: The data files are available at https://doi.org/10.1287/mnsc.2024.04778 .",Management Science,2026-06-22,journal-article,https://doi.org/10.1287/mnsc.2024.04778,1526-5501,Management Science,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1037/apl0001398,Grateful leaders and attentive followers: How grateful attention transmits the cascade of gratitude expressions to strengthen coworker relationships.,Lauren R. Locklear; Meghan E. Kane; Mark G. Ehrhart,,,Journal of Applied Psychology,2026-06-22,journal-article,https://doi.org/10.1037/apl0001398,1939-1854,Journal of Applied Psychology,PSYCH (WOP-OB),APA,4*,4*,4*
10.1111/1756-2171.70058,Price Discrimination With Manipulable Observables,Teck Yong Tan,Simon Business School University of Rochester New York USA,"ABSTRACT This article studies price discrimination by a seller who uses data on observables that buyers can control (or manipulate) at a cost. If the seller's discriminatory prices are offered covertly, equilibrium market segmentation is always coarse, resulting in limited price discrimination. In contrast, if prices must be transparently posted, every buyer pays a personalized price in equilibrium, though this does not always reduce buyer or social welfare. The analysis sheds new light on calls for transparency in how sellers utilize consumer data to customize prices and highlights potential issues with assessing welfare using (only) observed prices, pricing conduct, and market coverage.",The RAND Journal of Economics,2026-06-22,journal-article,https://doi.org/10.1111/1756-2171.70058,1756-2171,RAND Journal of Economics,ECON,Wiley-Blackwell,4,4,4
10.1111/1756-2171.70064,Cleaner but Volatile Energy? The Effect of Coal Plant Retirement on Market Competition in the Wholesale Electricity Market,Harim Kim,Department of Economics University of Connecticut Storrs Connecticut USA,"ABSTRACT The energy transition from coal to gas is reshaping the power sector to rely more on gas generation, which is cleaner but has more variable input costs. Using counterfactual analysis, I study the competitive effects of this transition, by considering several transition paths that differ in the types of firms involved in retiring coal plants and investing in gas plants. I show that the variable nature of the marginal cost of gas generation creates an environment in which market power could increase after the transition. However, the transition's impact on competition depends on the characteristics of the firms investing in new gas generation; the adverse impact is mitigated under a well‐planned transition that leads to a more competitive industry structure.",The RAND Journal of Economics,2026-06-22,journal-article,https://doi.org/10.1111/1756-2171.70064,1756-2171,RAND Journal of Economics,ECON,Wiley-Blackwell,4,4,4
10.1007/s10107-026-02380-y,Sensor network localization has a benign landscape after low-dimensional relaxation,Christopher Criscitiello; Andrew D. McRae; Quentin Rebjock; Nicolas Boumal,,"Abstract We consider the sensor network localization problem, which is closely related to multidimensional scaling and Euclidean distance matrix completion. Given a ground truth configuration of n points in $${\mathbb {R}}^\ell $$ R ℓ , we observe a subset of the pairwise distances and aim to recover the underlying configuration (up to rigid transformations). We show with a simple counterexample that the associated optimization problem is nonconvex and may admit spurious local minimizers, even when all distances are known. Yet, inspired by numerical experiments, we argue that all second-order critical points become global minimizers when the problem is relaxed by optimizing over configurations in dimension $$k> \ell $$ k > ℓ . Specifically, we show this for two settings, both when all pairwise distances are known: (1) for arbitrary ground truth points, and $$k= O(\sqrt{\ell n})$$ k = O ( ℓ n ) , and: (2) for isotropic random ground truth points, and $$k= O(\ell + \log n)$$ k = O ( ℓ + log n ) . To prove these results, we identify and exploit key properties of the linear map which sends inner products to squared distances.",Mathematical Programming,2026-06-22,journal-article,https://doi.org/10.1007/s10107-026-02380-y,1436-4646,Mathematical Programming,OR&MANSCI,Springer Nature,4,4,4
10.1007/s10107-026-02385-7,Recoverable robust optimization with commitment,Felix Hommelsheim; Nicole Megow; Komal Muluk; Britta Peis,,"Abstract We propose a model for recoverable robust optimization with commitment . Given a combinatorial optimization problem and uncertainty about elements that may fail, we ask for a robust solution that, after the failing elements are revealed, can be augmented in a limited way. However, we commit to preserve the non-failing elements of the initial solution. We settle the computational complexity of such a robust counterpart of various classical polynomial-time solvable combinatorial optimization problems. We show, for the weighted matroid independent set problem, that an optimal solution to the nominal problem is also optimal for its robust counterpart. Indeed, matroids are provably the only structures with this strong property. Robust counterparts of other problems are -hard such as the matching problem and the stable set problem, even in bipartite graphs. However, we establish polynomial-time algorithms for the robust counterparts of the unweighted stable set problem in bipartite graphs and the weighted stable set problem in interval graphs, also known as the interval scheduling problem.",Mathematical Programming,2026-06-22,journal-article,https://doi.org/10.1007/s10107-026-02385-7,1436-4646,Mathematical Programming,OR&MANSCI,Springer Nature,4,4,4
10.1080/07350015.2026.2691740,Extremal local linear quantile regression for heavy-tailed time series with near epoch dependence,Fengyang He; Huixia Judy Wang,"School of Mathematics and Statistics, Hunan University of Technology and Business; Department of Statistics, Rice University",,Journal of Business &amp; Economic Statistics,2026-06-22,journal-article,https://doi.org/10.1080/07350015.2026.2691740,1537-2707,Journal of Business and Economic Statistics,ECON,Taylor & Francis,4,4,4
