doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1177/10591478261491419,EXPRESS: To Cooperate or Not? A Finite-Capacity Manufacturer’s Decision to Enter the Sharing Market,Kangning Jin; Ying-Ju Chen; Yong-Wu Zhou; Xiaogang Lin,,"Recently, more manufacturers have embraced peer-to-peer product sharing by complementing their traditional sales channels with direct cooperation with sharing platforms to supply products for rental. Unlike prior studies, this paper considers a manufacturer with finite production capacity and investigates whether and under what conditions it chooses to cooperate with a sharing platform, as well as how such cooperation affects capacity utilization. We find that cooperation may arise under both high and low capacity regimes, but for fundamentally different reasons. When the commission rate is high, cooperation is driven by scarcity monetization: the manufacturer cooperates when either marginal production cost is high or capacity is limited, as product scarcity can be sustained and sharing-channel revenue is substantial. When the commission rate is low, cooperation becomes a capacity-utilization strategy and occurs only when marginal production cost is low and capacity is sufficiently large, so that the benefit from absorbing idle capacity outweighs sales cannibalization. We further show that cooperation does not necessarily increase the selling price or reduce the rental price, as pricing and allocation responses depend critically on the commission environment. Finally, cooperation is not a universal remedy for capacity waste. It improves capacity utilization only when the sharing channel effectively absorbs excess capacity under a low commission rate. In contrast, when cooperation is driven by scarcity preservation under a high commission rate, its ability to reduce idle capacity is limited. Moreover, the per-unit idle cost plays an asymmetric role: it discourages cooperation under scarcity-driven regimes but encourages cooperation under capacity-utilization regimes.",Production and Operations Management,2026-09-16,journal-article,https://doi.org/10.1177/10591478261491419,1937-5956,Production and Operations Management,OPS&TECH,Wiley-Blackwell,4,4,4
10.1177/10591478261490953,EXPRESS: Let Clickstream Talk: A Graph Neural Network Approach to Sales Forecasting,Rong Liu; Zihan Chen; Denghui Zhang; Feng Mai; Xuying Zhao,,"Abstract This paper proposes ForecastClickGraph, a deep learning framework that extracts cross-product relationships and demand information from clickstream data for probabilistic sales forecasting. ForecastClickGraph models stages in consumer shopping journeys as a dynamic graph, where nodes represent individual product-stage combinations, such as product A viewed or added to cart, and directed edges capture the transitions between stages. A customized graph neural network learns product representations that incorporate both product-level temporal patterns and cross-product associations. Another graph-based module further detects demand spikes using early signals from related products. ForecastClickGraph cross-learns demand patterns across large-scale products and estimates demand distributions through quantile regression. Extensive experiments on a real-world dataset show that ForecastClickGraph outperforms state-of-the-art benchmark models by 10-28% in forecast accuracy, with particularly strong performance in predicting promotional sales bursts. It also yields superior probabilistic forecasts with substantially lower quantile loss and improved calibration relative to benchmarks.",Production and Operations Management,2026-09-16,journal-article,https://doi.org/10.1177/10591478261490953,1937-5956,Production and Operations Management,OPS&TECH,Wiley-Blackwell,4,4,4
10.1177/10591478261492009,EXPRESS: Focused versus Diversified Nonprofit Organizations: Aligning Operations Strategies with Donor Types,Gloria Urrea; Sebastián Villa; Eric Quintane,,"Nonprofit organizations (NPOs) typically adopt either a focused or diversified operations strategy to deliver their services. While the operational implications of these strategies are well studied, their effects on fundraising outcomes remain unexplored. We argue that NPOs operating under resource constraints face a fundamental tradeoff between operational efficiency and funding uncertainty, and that aligning operations strategy with institutional donor relationships can improve fundraising outcomes. We propose a compensatory alignment framework: focused NPOs benefit more from new donors who help reduce funding uncertainty, while diversified NPOs benefit more from stable donors who help maintain operational efficiency. We test this framework in the high-stakes setting of humanitarian emergency funding, where NPOs have limited financial resources to operate and conduct their fundraising campaigns. We use panel data on over 3,000 global NPOs from 2000 to 2020, combining grant-level donation records with organizational and donor characteristics. Results from a dynamic panel model support the proposed alignment: diversified NPOs receive significantly higher donation amounts from stable donors, while focused NPOs receive significantly higher donation amounts from new donors. Interviews with NPO fundraising managers around the world indicate that our empirical findings resonate with practitioners' experience. For instance, focused NPO managers view new donor acquisition as a way to mitigate funding concentration risk, whereas diversified NPO managers emphasize stable donors as a means of managing the complexity of multiple programs. This research advances theory by linking NPOs’ operations strategies to donor engagement and fundraising performance and offers practical guidance to NPO managers.",Production and Operations Management,2026-09-16,journal-article,https://doi.org/10.1177/10591478261492009,1937-5956,Production and Operations Management,OPS&TECH,Wiley-Blackwell,4,4,4
10.1093/restud/rdag105,Machine Learning for Dynamic Incentive Problems,Philipp Renner; Simon Scheidegger,"Department of Economics, University of Lausanne, Switzerland, and Grantham Research Institute, LSE ,; Department of Economics, Lancaster University ,","Abstract We present a flexible and scalable computational framework integrating machine learning and optimization theory to solve dynamic adverse selection models with persistent private information and many types. Our approach reformulates the model into a numerically tractable structure that bypasses set-valued dynamic programming; we formally prove that, under verifiable conditions, this relaxation yields the solution to the original problem. The recast problem is solved via a parallelized value function iteration algorithm, where high-dimensional, nonlinear functions are approximated using Gaussian process regression combined with Bayesian active learning. We apply our framework to two previously intractable models: one with persistent hidden information involving up to ten types and another incorporating multiple persistent types and overreporting. Validation against known solutions and rigorous credibility measures confirms accuracy. Allowing overreporting significantly alters long-run contract outcomes, concentrating consumption away from extremes and smoothing utility promises over time.",Review of Economic Studies,2026-09-15,journal-article,https://doi.org/10.1093/restud/rdag105,1467-937X,Review of Economic Studies,ECON,Oxford University Press,4*,4*,4*
10.1287/opre.2025.2528,Finite-Time Minimax Bounds and an Optimal Lyapunov Policy in Queueing Control,Yujie Liu; Vincent Y. F. Tan; Yunbei Xu,"Department of Industrial Systems Engineering and Management, National University of Singapore, Singapore 117576; Department of Mathematics, National University of Singapore, Singapore 119076; and Department of Electrical and Computer Engineering, National University of Singapore, Singapore 117576","Finite-Time Guarantees for Scheduling Scheduling underpins modern infrastructure, including data centers, wireless networks, service systems, and graphics processing unit clusters. In these environments, bursty, nonstationary demand and stringent service objectives call for rigorous finite-time performance guarantees. In “Finite-Time Minimax Bounds and an Optimal Lyapunov Policy in Queueing Control,” Liu, Tan, and Xu develop a minimax framework for analyzing finite-time scheduling performance. The framework quantitatively characterizes how the expected total queue length scales with system capacity and variability in arrivals and departures, providing a basis for evaluating and comparing scheduling policies. The authors also introduce LyapOpt, which accounts for both first- and second-order effects in service allocation, whereas MaxWeight optimizes only first-order drift. Under a specific structured condition, LyapOpt achieves optimal finite-time performance while retaining stability guarantees. In contrast, MaxWeight’s finite-time performance scales suboptimally with system parameters. These results clarify the limitations of classical drift-based scheduling and motivate new queueing-control methods with rigorous finite-time guarantees.",Operations Research,2026-09-15,journal-article,https://doi.org/10.1287/opre.2025.2528,1526-5463,Operations Research,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1177/00031224261476317,Strategic Inversion: How Refugees Reconfigure Everyday Resistance under Benevolent Oppression,Rekha Krishnan; Aloysius Marcus Kahindi; Rajiv Krishnan Kozhikode,Simon Fraser University; University of Victoria,"What does everyday resistance look like among dominated populations experiencing paternalistic care rather than extraction? Research on everyday resistance emerged from contexts where power extracts surplus from the oppressed. In this scholarship, the backstage is a space where the dominated cultivate hidden transcripts to cope with oppression, while the frontstage, where performances are enacted to those in power, is primary. Inversions of this order, when they occur, are momentary. Using ethnographic fieldwork in two Tanzanian refugee camps, we show that under benevolent oppression—control justified by paternalistic care rather than extraction—dominated populations respond through “strategic inversion”: a reordering of dramaturgical space where the backstage is primary and the frontstage remains tactical. Refugees moved the center of social life backstage, into a thriving underground economy, and kept up frontstage displays of helplessness to shield it. Within this alternative social order, competition and cooperation operated as two routes to heshima (dignity/deference). Competition resisted the uniformity of the refugee label, and cooperation rejected the helplessness it presumed. Refugees sustained this inversion through compliance flooding , rule-following performances so dense that officials could not tell forbidden from permitted activity; embedded enforcement , as guards became accomplices in maintaining the clandestine economy they policed; and collective coordination , where communities maintained alert systems and consistent performances to shield backstage activities. Our analysis extends research on everyday resistance by demonstrating that under benevolent oppression, subordinates actively build and experience empowerment, rather than merely imagining alternative moral orders or experiencing them briefly in bounded rituals.",American Sociological Review,2026-09-15,journal-article,https://doi.org/10.1177/00031224261476317,1939-8271,American Sociological Review,SOC SCI,SAGE,4*,4*,4*
10.5465/amr.2024.0311,"Vibe Managers, Gurus, and Rockstars: Decoding the Strategic Use of Unconventional Job Titles in Organizations",Elizabeth H. Eley,McGill University,,Academy of Management Review,2026-09-15,journal-article,https://doi.org/10.5465/amr.2024.0311,1930-3807,Academy of Management Review,ETHICS-CSR-MAN,Academy of Management,4*,4*,4*
10.5465/amr.2026.1082,Facing Strong Currents… But with an Even Stronger Crew,Kris Byron,Georgia State University,,Academy of Management Review,2026-09-15,journal-article,https://doi.org/10.5465/amr.2026.1082,1930-3807,Academy of Management Review,ETHICS-CSR-MAN,Academy of Management,4*,4*,4*
10.5465/amj.2025.0640,Ambiguity as Opportunity: A Theoretical Model of Conspiracy Entrepreneurship,Sarah R. Chase; Sally Maitlis; Dean A. Shepherd,University of Notre Dame; University of Oxford,,Academy of Management Journal,2026-09-15,journal-article,https://doi.org/10.5465/amj.2025.0640,1948-0989,Academy of Management Journal,ETHICS-CSR-MAN,Academy of Management,4*,4*,4*
10.1177/09500170261472822,Labelled unemployed: Neighbourhood composition and the enforcement of employment norms,Kerstin Ostermann; Sebastian Lang,"Institute for Labor Market Research (IAB), Nuremberg, Germany; Chair of Methods of Empirical Social Research, Leibniz Science Campus RegioHub, University Bielefeld, Germany; Leibniz Institute for Educational Trajectories (LIfBi), Bamberg, Germany","This article illuminates the contexts in which neighbourhood unemployment serves as a mechanism to explain the unemployed’s perception of being negatively stereotyped, also known as stigma consciousness. The article relies on the labelling approach and social contagion models to derive hypotheses about the effect of informal societal control and the scope of the employment norm. After combining survey data with administrative 1×1km grid cell data from Germany, multilevel models reveal a U-shaped association: the neighbourhood’s unemployment negatively affects the individuals’ stigma consciousness up to an unemployment share of 10% and positively affects the individual’s stigma consciousness when the neighbourhood share exceeds 30%. Especially the unemployed in high-inequality neighbourhoods and low-unemployment counties show the highest associations between neighbourhood unemployment and stigma consciousness. Beyond highlighting the importance of local norms and how they shape individuals’ perceptions in general, the article sheds light on how employment norms operate on different spatial levels.","Work, Employment and Society",2026-09-15,journal-article,https://doi.org/10.1177/09500170261472822,1469-8722,"Work, Employment and Society",HRM&EMP,SAGE,4,4,4
