doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1177/00018392261457399,“Work Optional”: The Adoption and Enactment of a New Work Ideal in the Financial Independence Retire Early Community,Laura Sonday,The University of North Carolina at Chapel Hill,"This study examines how people change their relationship with work through the adoption and enactment of a new work ideal: a novel aspiration for what constitutes an optimal work life. Drawing on two years of ethnographic observation of the Financial Independence Retire Early (FIRE) community, two rounds of interviews with 55 informants, and analysis of archival materials, I identify four community tactics that informants used to promote a new “work optional” ideal rooted in financial freedom. I then show how the transformational capacity of this ideal hinged on individual perceptions of its appeal and attainability, which evolved via an interplay of group influence and individual sensemaking. Enactment of the new work ideal ranged from radical recalibration to marginal modification of working life. This study explains not only how people are persuaded to adopt a new ideal for work but also why that ideal varies in its transformative impact. I discuss the implications for research on the ideal worker norm, the meaning of work, and ideological conversion.",Administrative Science Quarterly,2026-07-09,journal-article,https://doi.org/10.1177/00018392261457399,1930-3815,Administrative Science Quarterly,ETHICS-CSR-MAN,Cornell University Press,4*,4*,4*
10.1007/s11192-026-05739-2,Book review: The engine of scientific discovery,Lutz Bornmann,,"Abstract This book review examines Alexander Krauss’s ‘The engine of scientific discovery’, which introduces a ‘methods-driven discovery theory’ that challenges the traditional frameworks of Karl Popper and Thomas Kuhn. Krauss argues that methodological innovations and new tools—rather than theoretical shifts or serendipity—are the primary catalysts for scientific breakthroughs. While acknowledging the book’s empirical foundation based on over 750 scientific discoveries, this review evaluates Krauss’s premise through the lens of the Anna Karenina Principle (AKP). Applied to the science of science, the AKP posits that scientific breakthroughs require the simultaneous fulfillment of multiple interconnected prerequisites (as Krauss also stresses while placing tools at the center stage). The review concludes that while methodological innovation must be contextualized within a broader, multi-factorial configuration, Krauss’s work remains a highly valuable contribution to the science of science field by justifiably elevating the role of tool innovation in understanding scientific progress.",Scientometrics,2026-07-09,journal-article,https://doi.org/10.1007/s11192-026-05739-2,1588-2861,Scientometrics,INNOV,Springer Nature,4,4,4
10.1111/risa.70307,What if the Risk Manager is Malevolent?,Zachary A. Collier; Tiana Kaleeva,Department of Management Radford University Radford VA USA; Postdoctoral Researcher Sofia Bulgaria,"ABSTRACT Risk is a fundamental aspect of human endeavors, and risk managers serve an indispensable role within organizations and society. Risk managers engage in identification, assessment, communication, and control of numerous types of risks. These activities support decision‐making about the relative benefits and risks of various courses of action in the pursuit of organizational or societal objectives. Risk managers, in their role as advisors on topics that potentially could result in negative outcomes, play an important part in risk‐based decision‐making. This perspective paper explores the situation in which the risk manager is not a neutral provider of risk‐related information but rather is actively malevolent, seeking to cause losses and mayhem by intentionally weaponizing the risk management process itself. We discuss the general role of the risk manager as well as how malevolence can manifest itself within a risk management context. Two brief vignettes on flood risk management and financial portfolio management are given to illustrate the potential impacts of a malevolent risk manager. Finally, we offer some potential countermeasures, attempting to answer the question, “Who manages the risks of the risk managers?”",Risk Analysis,2026-07-09,journal-article,https://doi.org/10.1111/risa.70307,1539-6924,Risk Analysis,SOC SCI,Wiley-Blackwell,4,4,4
10.1111/padm.70075,"Resolving Agile Ambidexterity: Between Ambivalence, Adaptation, and Accommodation",Ines Mergel,Department of Politics and Public Administration University of Konstanz Konstanz Germany; School of Management University of Vaasa Vaasa Finland; Fraunhofer Institute for Open Communication Systems Berlin Germany,"ABSTRACT Public bureaucracies address challenging and complex problems by applying agile work practices when standard operating procedures or routines fail. In these situations, public managers need to decide whether to exploit existing bureaucratic routines or explore novel solutions through non‐routine agile work practices. This study shows how public managers maneuver between different adoption decisions: (1) remain ambivalent and reject agile, (2) accommodate the needs of the bureaucracy and adjust agile work practices to align with administrative routines, or (3) adapt in an ambidextrous manner by becoming agile literate and choosing the appropriate work practices depending on the public management problem. This study contributes to the literature on agile governance by incorporating the notion of ambidexterity into the existing theory of 21st‐century bureaucracy.",Public Administration,2026-07-09,journal-article,https://doi.org/10.1111/padm.70075,1467-9299,Public Administration,PUB SEC,Wiley-Blackwell,4,4,4
10.1287/opre.2024.1273,Assortment Optimization Under History-Dependent Effects,Taotao He; Yating Zhang; Huan Zheng,"Antai College of Economics and Management, Shanghai Jiao Tong University, Shanghai 200030, China","Curing Consumer Fatigue: A Data-Driven Approach to Dynamic Assortment Have you ever grown tired of seeing the same lunch options at your corporate cafeteria every day? This phenomenon, known as customer satiation, poses a major challenge for businesses serving repeat customers, such as dining services and online flash-sale platforms. When customer utility depends on historical offerings, traditional assortment planning methods often fail, sacrificing either overall revenue or product variety. In the paper “Assortment Optimization Under History-Dependent Effects,” the authors develop a new optimization framework to capture how past assortments influence future customer preferences. By reformulating this challenging nonlinear problem into tractable mixed-integer programs, they derive optimal assortment policies over time. Using real-world corporate cafeteria data, the study demonstrates revenue improvements of up to 10.4% over static assortment policies while maintaining product variety and reducing customer fatigue.",Operations Research,2026-07-08,journal-article,https://doi.org/10.1287/opre.2024.1273,1526-5463,Operations Research,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1287/mnsc.2024.06043,Financial Reporting Effects of the 1934 Securities Exchange Act,Oliver Binz; Darren Roulstone,"European School of Management and Technology, 10178 Berlin, Germany; Fisher College of Business, The Ohio State University, Columbus, Ohio 43210","We document financial reporting effects of the 1934 Securities Exchange Act. Specifically, we find strong evidence that the act made the accounting of similar firms more similar. In contrast, we find no evidence that the act made the accounting of differing firms more similar. Together, these findings suggest that the act increased accounting comparability but not accounting uniformity. Further, the act increased information spillovers from earnings news released during bellwether firms’ earnings announcements to other firms within the same industry. We investigate possible mechanisms by which the act affected comparability and spillovers, and we identify the Securities and Exchange Commission’s financial reporting instructions and its financial reviews and comment letter process as the most likely drivers. Overall, our results provide evidence that the act improved financial reporting through increased accounting comparability and increased information spillovers, two features of accounting standards associated with numerous benefits for firms, investors, and capital markets. This paper was accepted by Suraj Srinivasan, accounting. Funding: The authors acknowledge financial support from European School of Management and Technology Berlin and The Ohio State University. Supplemental Material: The data files are available at https://doi.org/10.1287/mnsc.2024.06043 .",Management Science,2026-07-08,journal-article,https://doi.org/10.1287/mnsc.2024.06043,1526-5501,Management Science,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1177/01492063261461512,Entrepreneurial Subjective Ambivalence and Venture Idea Revision,Andreea N. Kiss; Naomi B. Rothman; Willy Das; Insung Hwang,Lehigh University; Columbus State University,"We investigate the effects of entrepreneurial subjective ambivalence on a form of adaptive action: venture idea revision. Building on the affect-as-information perspective, we propose that entrepreneurial subjective ambivalence will increase venture idea revision by increasing information search behaviors. The results of a longitudinal, repeated-measures field study based on 175 entrepreneurs in a top incubator program demonstrate that when entrepreneurs experience higher subjective ambivalence (compared to lower ambivalence) in response to mentor feedback about their new ventures, they engage in higher levels of venture idea revision. We theorize and find that this increase in venture idea revision arises because subjective ambivalence is positively associated with more intense and broader information search behaviors. We discuss implications of our findings for research on affect in entrepreneurial decision-making, creative revision, and ambivalence in organizations, as well as for formal entrepreneurial mentoring programs.",Journal of Management,2026-07-08,journal-article,https://doi.org/10.1177/01492063261461512,1557-1211,Journal of Management,ETHICS-CSR-MAN,SAGE,4*,4*,4*
10.1057/s41267-026-00889-0,R&amp;D location choice under technology sanctions: evidence from Chinese MNEs,Chenjian Zhang; Zhenyuan Xu; Kejing Chen; Hanwen Sun,,,Journal of International Business Studies,2026-07-08,journal-article,https://doi.org/10.1057/s41267-026-00889-0,1478-6990,Journal of International Business Studies,IB&AREA,Springer Nature,4*,4*,4*
10.1177/00031224261453543,Religion Unbundled: Toward a Twenty-First-Century Paradigm for the Sociology of American Religion,Ruth Braunstein; Jaime Kucinskas; Brian Steensland; Daniel Winchester,Johns Hopkins University; Hamilton College; Indiana University Indianapolis; Purdue University,"Much recent sociological work on religion in the United States is written outside the field’s two established paradigms: secularization theory and the 1990s “religious economy” approach. Drawing together strands of recent theoretical innovation and contemporary religious developments that challenge the existing paradigms, we introduce elements of a twenty-first-century paradigm for the sociology of American religion. We argue that the shape-shifting nature of American religion (and secularity) can be productively conceptualized as an effect of unbundling—that is, a process by which religious goods once offered as a package by institutionalized religious authorities are now offered individually or repackaged into various hybrid and contested forms by a wide array of suppliers. We demonstrate the value of our approach by showing how two major religious traditions, Christianity and Buddhism, have become unbundled. In both cases, our approach positions us to apprehend a range of phenomena beyond traditional organized religion, as well as how organized religion adapts to fit this new de facto unbundled landscape. We offer criteria for delimiting the scope of this broader unbundled religious landscape, and discuss the implications of our approach for scholarship on religion, meaning making, and social change.",American Sociological Review,2026-07-08,journal-article,https://doi.org/10.1177/00031224261453543,1939-8271,American Sociological Review,SOC SCI,SAGE,4*,4*,4*
10.5465/amr.2025.0095,A Theory of the Temporal Embeddedness of Firms in Entrepreneurs’ Lives,Mateja Andric,University of Melbourne and Stockholm School of Economics,,Academy of Management Review,2026-07-08,journal-article,https://doi.org/10.5465/amr.2025.0095,1930-3807,Academy of Management Review,ETHICS-CSR-MAN,Academy of Management,4*,4*,4*
