doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1177/10422587261450579,Institutional Space-Making for Equity in Entrepreneurial Ecosystems: Evidence from U.S. Cities,Qingfang Wang; Sua Kim; Scott Taylor,"University of Massachusetts Boston, USA; University of California Riverside, USA; California State University Fullerton, USA","Entrepreneurial ecosystems (EE) are widely viewed as engines of innovation, economic development, and opportunity, yet prior research offers limited insight into how equity is institutionally produced and sustained, particularly for minority- and women-owned businesses. We introduce institutional space-making—the purposeful construction of governance, relational, and organizational environments that enable equitable participation—as a core institutional mechanism for ecosystem redesign. Drawing on a multi-city case analysis of the Ascend program across 13 U.S. cities, we identify 3 interrelated processes: (a) structural redesign that confronts exclusionary rules, routines, and evaluative logics; (b) relational mobilization through institutional entrepreneurship that assembles cross-sector coalitions to reconfigure resource flows and opportunity structures; and (c) organizational and implementation practices that embed cultural responsiveness through trust-building and adaptive coordination. Findings show that inclusive ecosystems emerge when these processes are jointly enacted, linking ecosystem design with everyday implementation. Our study advances EE theory by specifying how equity is produced through institutional redesign and offers actionable guidance for policymakers and ecosystem builders seeking durable inclusion.",Entrepreneurship Theory and Practice,2026-06-08,journal-article,https://doi.org/10.1177/10422587261450579,1540-6520,Entrepreneurship Theory and Practice,ENT-SBM,Wiley-Blackwell,4*,4,4
10.1287/mnsc.2023.03991,The Value of Last-Mile Delivery in Online Retail,Zhikun Lu; Ruomeng Cui; Tianshu Sun; Lixia Wu,"Shanghai New York University, Shanghai 200124, China; Goizueta Business School, Emory University, Atlanta, Georgia 30322; Cheung Kong Graduate School of Business, Beijing 100006, China; Cainiao Network, Hangzhou 311121, China","Last-mile delivery, the most expensive stage of the shipment process, has become increasingly important in online retail, raising the strategic question of whether firms should outsource it to customers via pickup stations or offer home delivery. In this paper, we examine the economic value of last-mile delivery to inform this high-stakes decision. Partnering with Cainiao, Alibaba’s logistics platform, we exploit a quasi-experiment where home delivery service was sequentially rolled out to pickup stations in 2021. A staggered difference-in-differences design reveals that home delivery significantly increases sales and customer spending on Alibaba’s retail platform. Because last-mile delivery is labor-intensive and capacity constrained, effectively allocating delivery resources is crucial. To address this challenge, we propose a novel operations-aware targeting framework that integrates causal machine learning with constrained optimization to identify and prioritize the most valuable customers. The framework incorporates both capacity and fairness constraints to maximize sales while maintaining equitable service access. We further extend it with routing optimization, enabling value-aware delivery planning that jointly considers sales uplift and spatial efficiency. We demonstrate that the resulting targeting and routing policies significantly improve revenue performance. Taken together, we show that last-mile delivery is not merely a cost center but also a revenue driver. By adopting tailored logistics strategies that balance customer needs with resource constraints, online retailers can unlock substantial value and win the last mile of e-commerce. This paper was accepted by Jeannette Song, operations management. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2023.03991 .",Management Science,2026-06-08,journal-article,https://doi.org/10.1287/mnsc.2023.03991,1526-5501,Management Science,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1287/mnsc.2024.05036,Liquidity Support in Financial Institutions,Falko Fecht; Egemen Genc; Yigitcan Karabulut; Patrick Weber,"Deutsche Bundesbank, 60431 Frankfurt am Main, Germany; and Frankfurt School of Finance & Management, 60322 Frankfurt am Main, Germany; Department of Finance, University of Illinois Chicago, Chicago, Illinois 60607; Frankfurt School of Finance & Management, 60322 Frankfurt am Main, Germany; TH Aschaffenburg UAS, 63743 Aschaffenburg, Germany","We document a novel support mechanism in financial institutions—the direct flow channel—through which banks coordinate client investments to stabilize affiliated mutual funds facing severe redemptions. Inflows from banks’ retail and institutional clients offset a sizable share of outflows, mitigating adverse performance effects, forced sales, and redemption spillovers. Support via the direct flow channel is liquidity driven, concentrated in fragile but viable funds, and most pronounced when cash and family support are insufficient, while complementing credit lines when they are available. Importantly, we find no evidence that bank clients incur systematic costs, underscoring the stabilizing role of banks as coordination devices. This paper was accepted by Camelia Kuhnen, finance. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2024.05036 .",Management Science,2026-06-08,journal-article,https://doi.org/10.1287/mnsc.2024.05036,1526-5501,Management Science,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1111/risa.70274,A Novel Framework for Quantitative Evaluation of Resilience Performance of Sea Lanes of Communication,Hanwen Fan; Haiying Jia; Xiaoxing Gong; Zheng Chang; Jing Lyu,"Liverpool Logistics, Offshore and Marine Research Institute Liverpool John Moores University Liverpool UK; Department of Business and Management Science Norwegian School of Economics Bergen Norway; College of Transportation Engineering Dalian Maritime University Dalian China","ABSTRACT Sea lanes of communication (SLOC) are perceived as intricate systems comprising shipping routes, key straits, and canals, which are increasingly vulnerable to external disruptions. This study proposes a holistic framework for resilience assessment on the system by introducing an advanced framework incorporating fuzzy logic, a critic weight calculation approach, and the evidential reasoning (ER) algorithm to assess resilience. Second, a hierarchical influential index is created, assessing the system's capacity to absorb, adjust, and recover from disruptions while incorporating connectivity among key straits and canals to illustrate the risk performance and spatial relationships of the straits and canals within Sea Lanes of Communication. Third, a fuzzy ER algorithm integrates information from diverse sources, taking into account the significance and nonlinear relationships among the influential factors. Finally, we present techniques to assess the resilience performance and validate our models. This proposed framework is implemented through an empirical study of five primary Sea Lanes of Communications that connect the Far East and the rest of the world. This framework provides valuable insights into resilience performance in an environment with high uncertainties and offers guidance for relevant stakeholders.",Risk Analysis,2026-06-08,journal-article,https://doi.org/10.1111/risa.70274,1539-6924,Risk Analysis,SOC SCI,Wiley-Blackwell,4,4,4
10.1080/14719037.2026.2685252,Unleashing the potential of participative budgeting practices in Public Healthcare Organizations: The drivers of psychology-based budgeting research,Domenico Raucci; Manuela Paolini; Nicoletta Cera; Fausto Di Vincenzo,University of Chieti-Pescara; University of L’Aquila; University of Porto,,Public Management Review,2026-06-08,journal-article,https://doi.org/10.1080/14719037.2026.2685252,1471-9045,Public Management Review,PUB SEC,Taylor & Francis,4,4,3.0
10.1080/14719037.2026.2684320,Paradoxical tensions as catalysts: a phenomenon-based study of employee-driven innovation in the civil service,Yseult Freeney; Edel Conway; Kathy Monks; Natasha McDowell,DCU Research Institute for Business and Society; Dublin City University,,Public Management Review,2026-06-08,journal-article,https://doi.org/10.1080/14719037.2026.2684320,1471-9045,Public Management Review,PUB SEC,Taylor & Francis,4,4,3.0
10.1111/padm.70071,"<scp>AI</scp>
                    Public Value Creation: Data Encoding, Aggregation, and Algorithmic Computation",Antonio Cordella; Francesco Gualdi,Department of Management The London School of Economics and Political Science London UK; The School of Business Regent's University London London UK,"ABSTRACT AI systems in public administration challenge the premise that value creation arises from managers' strategic mediation among the vertices of Moore's strategic triangle: Public value, legitimacy, and operational capacity. AI imposes new logics that reshape vertices and their interaction dynamics. Critically, these transformations become entrenched through what we term algorithmic public value lock‐in: the crystallization of contingent value definitions into durable technical infrastructures resistant to democratic revision. Examining Peru's SISFOH, an algorithmic welfare‐targeting system, we reveal three interconnected shifts: data management recasts legitimacy as computational objectivity; standardized classifications redefine public value in narrow, quantifiable terms; and algorithmic processing transforms operational capacity from adaptive discretion to rigid execution. Together, these shifts produce lock‐in effects that potentially insulate public value creation from political negotiation.",Public Administration,2026-06-08,journal-article,https://doi.org/10.1111/padm.70071,1467-9299,Public Administration,PUB SEC,Wiley-Blackwell,4,4,4
10.1111/padm.70045,Issue Information,,,,Public Administration,2026-06-08,journal-article,https://doi.org/10.1111/padm.70045,1467-9299,Public Administration,PUB SEC,Wiley-Blackwell,4,4,4
10.1002/job.70106,Do Men Who Spill the Tea in Teams Get Burned? Gender Differences in Perceived Competence and Leadership Emergence of Team Members Who Gossip,Andrea L. Hetrick; Trevor M. Spoelma; Lisa A. Marchiondo,"Department of Management, The James &amp; Gail Ellis School of Business Leadership University of New Mexico Albuquerque New Mexico USA; Department of Management and Entrepreneurship, Tippie College of Business University of Iowa Iowa City Iowa USA","ABSTRACT Gossip has historically been viewed as a form of deviant behavior. However, research in recent years has offered a more nuanced perspective. We aim to reconcile contrasting perspectives regarding whether gossip is beneficial or harmful to leadership emergence in teams. We do so by integrating role congruity theory and research on prescriptive gender stereotypes to examine how the gossiper's gender shapes these effects. Due to gender role prescriptions, we hypothesize that men who gossip will have lower competence perceptions and subsequent leadership emergence than women who gossip. We conducted three studies to test our theoretical model. Study 1 was a time‐separated, multi‐source study of intact student project teams. Study 2 was an experimental vignette study that manipulated gossip and employee gender in a team context. Study 3 was an experimental critical incident recall study that also manipulated gossip and employee gender in a group setting. The studies supported our theoretical model, demonstrating that individuals in teams give lower competence and leadership ratings to men who gossip compared with women who gossip. Implications for theory and research are discussed.",Journal of Organizational Behavior,2026-06-08,journal-article,https://doi.org/10.1002/job.70106,1099-1379,Journal of Organizational Behavior,PSYCH (WOP-OB),Wiley-Blackwell,4,4,4
10.1002/job.70101,Blessing or Curse? Understanding When and How Coworkers Negatively or Positively React to Leader Gratitude Expression,Bo Lv; Jie Xiao; Ping Jin; Hongyu Xue; Jiaxin Xue; Chenghao Men,Renmin Business School Renmin University of China Beijing China; Pinghu City Jianfa Investment Group Co. Ltd Jiaxing China; School of Labor and Human Resources Renmin University of China Beijing China; School of Management Shandong University Jinan China,"ABSTRACT While previous studies have mainly adopted a dyadic lens to examine the influence of leader gratitude expression, our research shifts the focus to a third‐party perspective to understand coworkers' dual reactions to it. Drawing on the appraisal theories of emotion, our research identifies coworker trait psychological entitlement as a key boundary condition influencing their appraisals and subsequent responses. Specifically, we propose that, when observing leader gratitude expression directed at focal employees, coworkers with higher levels of psychological entitlement are more likely to appraise the gratitude as undeserving, leading to feelings of envy and, consequently, social undermining. In contrast, coworkers with lower levels of psychological entitlement are more likely to appraise the gratitude as deserving and feel admiration after observing it, thereby increasing affiliative citizenship behavior. We find support for our hypotheses in two field studies and a scenario‐based experiment. Our research highlights the dual effects of leader gratitude expression within the broader social context involving coworkers, contributing to both the existing literature and managerial practice.",Journal of Organizational Behavior,2026-06-07,journal-article,https://doi.org/10.1002/job.70101,1099-1379,Journal of Organizational Behavior,PSYCH (WOP-OB),Wiley-Blackwell,4,4,4
