doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1037/apl0001413.supp,Supplemental Material for Personality Testing for Autistic Individuals: Potential Issues for Selection,,,,Journal of Applied Psychology,2026-08-31,journal-article,https://doi.org/10.1037/apl0001413.supp,1939-1854,Journal of Applied Psychology,PSYCH (WOP-OB),APA,4*,4*,4*
10.1037/apl0001417.supp,Supplemental Material for Managing Internal Mobility: How Social and Human Capital Shape Movers’ Integration Over Time,,,,Journal of Applied Psychology,2026-08-31,journal-article,https://doi.org/10.1037/apl0001417.supp,1939-1854,Journal of Applied Psychology,PSYCH (WOP-OB),APA,4*,4*,4*
10.1287/orsc.2022.17009,From Scarce Resources to Resourcing Spirals: A Theory of Mindful Resourcing,Cristina Rubino; Sara Jansen Perry; Ravi S. Kudesia; Ari Malka,"California State University Northridge, Management, Northridge, California, 91330, United States; Baylor University, Management, Waco, Texas, 76798, United States; Temple University Fox School of Business and Management, Human Resource Management, Philadelphia, Pennsylvania, 19122, United States; Frontline Careers, President and Co-founder, San Marcos, California, United States","People in organizations often face demands in excess of their resources. Psychological theories of resources reflect this scarcity, emphasizing how people conserve or balance resources. While they acknowledge that interventions like mindfulness training can create resources, these theories struggle to explain how, as they assume that resources are necessarily scarce. In this study, we introduce a theory of mindful resourcing. Rather than reducing mindfulness to a scarce psychological resource that a person has, it reveals mindfulness to be a skillful practice that a person does to enhance their agency to create resources. Mindful resourcing theory shows how mindfulness skills form a foundation for resourcing—the ability to create and enact resources—and how resourcing reciprocally enhances mindfulness skills, such that the practices of mindfulness and resourcing intertwine as mutually sustaining and supporting practices. We develop this theory across a three-phase research design that (1) introduces a conceptual model which sequences how these practices intertwine and (2) uses this sequencing to surface the otherwise implicit design structure of mindfulness trainings, before (3) abductively building theory on how people enact and develop competence in mindful resourcing from longitudinal qualitative data of 98 non-profit employees undergoing training. Our theory-building discovers the critical role of resourcing spirals—showing how employees create and enact resources by skillfully assembling spirals and recursively expanding those spirals into longer and more impactful sequences as they gain competence. Taken together, our study illuminates the understudied human activities by which people not only create and enact resources but learn to do so more mindfully.",Organization Science,2026-09-01,journal-article,https://doi.org/10.1287/orsc.2022.17009,1526-5455,Organization Science,ORG STUD,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.25300/misq/2025/19441,Strategic Participation on Tokenized Platforms: Balancing Investment and Labor Intensities,Tianyi Li; Xiaoquan (Michael) Zhang,"Department of Decisions, Operations and Technology, The Chinese University of Hong Kong Hong Kong S.A.R., China","Participants on tokenized platforms (i.e., platforms with blockchain implementation) can simultaneously take multiple roles, such as user, investor, and laborer, and draw income from the last two roles. Unlike traditional markets that typically prioritize one means of profitable participation, participants on such platforms need to allocate their efforts on the platform to increase revenue. We developed a decision framework for determining participants’ strategic participation on tokenized platforms to maximize earnings from investment and labor. Individual participants were distinguished from the platform-average participant, and decision-making is cast into two subproblems: (1) ignoring individual actions’ impact on platform state, we constructed strategies based on metrics that characterized model projections of future platform development and derived the metrics from Monte Carlo ensembles; (2) considering individuals’ actions as explicitly influencing the platform state, we formulated the control problem as a Markov decision process and solved it via reinforcement learning (RL). The framework addresses parameter uncertainty from model estimation, system uncertainty in model projection, and input uncertainty during participant-platform interaction. We compared metric-based and RL strategies from the two solution approaches using historical token price series; the results suggest good performance of our decision framework.",MIS Quarterly,2026-09-01,journal-article,https://doi.org/10.25300/misq/2025/19441,2162-9730,MIS Quarterly: Management Information Systems,INFO MAN,University of Minnesota,4*,4*,4*
10.25300/misq/2026/503e1,Editor’s Comments,Susan Brown; Stefan Seidel; John D’Arcy; Jungpil Hahn; Carol Hsu; Sabine Matook; Maytal Saar-Tsechansky; Maha Shaikh; Jason Bennett Thatcher,,,MIS Quarterly,2026-09-01,journal-article,https://doi.org/10.25300/misq/2026/503e1,2162-9730,MIS Quarterly: Management Information Systems,INFO MAN,University of Minnesota,4*,4*,4*
10.25300/misq/2025/18542,Taste vs. Stats: Investigating Racial Discrimination in Online Donation and Investment Crowdfunding,Qianqian Ben Liu; Xuechen Luo,"Department of Information Systems, College of Business, City University of Hong Kong Hong Kong, China; Glorious Sun School of Economics and Management, Donghua University Shanghai, China","Racial discrimination in crowdfunding is a significant barrier to equitable access to capital, as racial minorities face greater challenges in achieving their fundraising goals. While prior research has documented discriminatory patterns in crowdfunding outcomes, the underlying mechanisms driving this discrimination remain unclear. This is a critical gap that must be addressed to develop effective interventions. Drawing on economic theories of taste-based and statistical discrimination, we examine how discrimination mechanisms vary across crowdfunding types. We posit that donation crowdfunding primarily exhibits taste-based discrimination, while investment crowdfunding manifests statistical discrimination. We tested these predictions through three preregistered randomized experiments. Confirming our prediction, the first experiment revealed taste-based discrimination against Black fundraisers in donation crowdfunding. The second experiment demonstrated statistical discrimination in investment crowdfunding. However, contrary to prior research showing negative discrimination against minorities, our second experiment revealed positive statistical discrimination toward Asian fundraisers. We posit that this positive discrimination is due to the decision frame participants adopt, and this explanation is supported by Experiment 3: The direction of discrimination is reversed when task instructions are modified to elicit a negative decision frame. Our research advances both the crowdfunding and the racial discrimination literatures while providing insights for platform design and debiasing interventions.",MIS Quarterly,2026-09-01,journal-article,https://doi.org/10.25300/misq/2025/18542,2162-9730,MIS Quarterly: Management Information Systems,INFO MAN,University of Minnesota,4*,4*,4*
10.1287/isre.2023.0743,The Impacts of Externally Hired Senior Technology Executives on Startup Complementor Innovation in Software Platform Ecosystems,Chen Zhang; He Li; Jingyi Sun; Denghui Zhang,"Iowa State University, Department of Information Systems and Business Analytics, Ames, Iowa, 50011-2140, United States; Clemson University, Management, Clemson, South Carolina, 29634-0002, United States; Stevens Institute of Technology, School of Business, Hoboken, New Jersey, United States","This research examines how externally hired senior technology executives reshape product innovation in startup complementors operating within software platform ecosystems. We distinguish two innovation types tied to the platform’s layered modular architecture: layer-expansion innovation that extends products into previously unused technical layers, and within-layer innovation that deepens the use of layers already embedded in the complementor’s products. Using longitudinal data from startup complementors in the Hadoop ecosystem, we find that externally hired senior technology executives are positively associated with layer-expansion innovation but negatively associated with within-layer innovation, indicating a reallocation of innovation efforts across platform layers. Drawing on the cognitive and technical dimensions of tacit knowledge, we theorize that externally hired senior technology executives influence innovation by introducing knowledge from their prior experience in technology and product development. Multiple mechanism analyses provide evidence consistent with this knowledge-based explanation. The innovation effects are stronger when executives are hired into newly created positions and when their prior expertise extends beyond the startup’s existing technical layers. We also find that these effects are more pronounced among growth-stage startups and startups without senior technical founders. This research contributes to the software platform ecosystem, executive human capital, and entrepreneurial innovation literature by investigating the impact of externally hired senior technology executives on startup innovation relative to the platform’s layered architecture.",Information Systems Research,2026-09-01,journal-article,https://doi.org/10.1287/isre.2023.0743,1526-5536,Information Systems Research,INFO MAN,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.5465/amr.2024.0114,"Close Friends, Closer Comparisons: Regulating Envy in Multiplex Relationships",Amnah Ameen; Alexandra Rheinhardt Beer; Kyoungjo (Jo) Oh,University of Connecticut,,Academy of Management Review,2026-08-31,journal-article,https://doi.org/10.5465/amr.2024.0114,1930-3807,Academy of Management Review,ETHICS-CSR-MAN,Academy of Management,4*,4*,4*
10.5465/amj.2024.1013,"Resolving the Performance Feedback Puzzle: CEO Psychopathy, Heterogeneous Emotional Responses to Aspiration Gaps, and Risk-Taking",Remzi Gözübüyük; Steffen Burkert; Aino Tenhiälä; Carl J. Kock; Jukka Partanen,Sabanci University; LMU Munich; IE University; University of Vaasa,,Academy of Management Journal,2026-08-31,journal-article,https://doi.org/10.5465/amj.2024.1013,1948-0989,Academy of Management Journal,ETHICS-CSR-MAN,Academy of Management,4*,4*,4*
10.1086/743896,Connecting Common Ratio and Common Consequence Preferences,Christina McGranaghan; Kirby Nielsen; Ted O'Donoghue; Jason Somerville; Charles Sprenger,,,Journal of Political Economy,2026-08-31,journal-article,https://doi.org/10.1086/743896,1537-534X,Journal of Political Economy,ECON,University of Chicago Press,4*,4*,4*
