doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1111/puar.70200,The “Professional Mortality” Problem in Early City Management: A Study of Organized Denial,Ben Merriman,School of Public Affairs &amp; Administration University of Kansas Lawrence Kansas USA,"ABSTRACT The early city management profession experienced appalling rates of attrition. This problem of “professional mortality” had been clearly recognized by the end of World War I: causes of attrition included threats and violence against managers, intense political interference in managers' work, and interpersonal missteps. Yet the organized management profession and advocates of the manager plan actively ignored threats and were unwilling to respond collectively or officially to political interference; leading scholars recognized but did not publicly discuss common interpersonal problems faced by managers. This silence on the underlying causes of turnover marked an effort to protect the manager plan's viability in the face of growing electoral opposition during the 1920s, placing the interests of the profession above its practicing members. The optimistic, rationalist discourses of advocates, scholars, and professional leaders rested on self‐conscious denial of uncomfortable realities; a full historical accounting may help avoid repeating these mistakes.",Public Administration Review,2026-09-11,journal-article,https://doi.org/10.1111/puar.70200,1540-6210,Public Administration Review,PUB SEC,Wiley-Blackwell,4*,4*,4*
10.1080/14719037.2026.2725790,"Introducing public management and global sporting mega-events: public value, ecosystems, learning and temporality",Alex G. Gillett; Kevin D. Tennent; Michael Macaulay,"University of York, York, England, United Kingdom; Victoria University of Wellington, Wellington, New Zealand",,Public Management Review,2026-09-12,journal-article,https://doi.org/10.1080/14719037.2026.2725790,1471-9045,Public Management Review,PUB SEC,Taylor & Francis,4,4,3.0
10.1177/10944281261485731,"Editorial: What Constitutes a Methodological Contribution at
                    <i>ORM</i>
                    ?",Tine Köhler; Lisa Schurer Lambert; Thomas Greckhamer; Michael Sturman; Catherine Welch; Jeremy F. Dawson; Justin DeSimone; Dina V. Krasikova; Jane K. Lȇ; Mikko Rönkkö; Jeffrey Stanton; Michael Withers,"University of Melbourne, Parkville, Australia; Texas Christian University, Fort Worth, TX, USA; Louisiana State University, Baton Rouge, LA, USA; Rutgers University, New Brunswick, NJ, USA; Trinity College Dublin, Dublin, Republic of Ireland; University of Sheffield, Sheffield, UK; University of Alabama, Tuscaloosa, AL, USA; University of Texas at San Antonio, San Antonio, TX, USA; WHU – Otto Beisheim School of Management, Vallendar, Germany; University of Jyväskylä, Jyväskylä, Finland; Syracuse University, Syracuse, NY, USA; University of Notre Dame, Notre Dame, IN, USA","Organizational Research Methods ( ORM ) is a research methods journal that aims to publish articles making a methodological contribution to management and organization science. In this editorial, we provide guidance for what constitutes a methodological contribution for this journal. Our goal is to facilitate understanding of how methodological contributions differ from theoretical or empirical contributions. We also seek to illustrate how a paper aspiring to make a methodological contribution needs to be crafted differently, including different needs for conceptual argumentation and empirical evidence. We offer specific examples of various kinds of methodological contributions that are more typical in qualitative and quantitative traditions, those of an ontological and epistemological nature, or those related to the method of theorizing more generally. We further highlight published ORM papers that offer concrete examples for each kind of contribution.",Organizational Research Methods,2026-09-11,journal-article,https://doi.org/10.1177/10944281261485731,1552-7425,Organizational Research Methods,ORG STUD,SAGE,4,4,4
10.1108/ijopm-01-2026-0033,Eroding operations while elevating innovation: a dual-mechanism model of supplier list disclosure,Qiyuan Zhang; Guikun Cao; Kedi Wang; Andy C. L. Yeung,"South China University of Technology , ,; South China Normal University , ,; The Hong Kong Polytechnic University , ,","Purpose Supplier list disclosure has become a defining feature of contemporary supply chain transparency, yet leading firms exhibit strikingly divergent disclosure choices and the empirical literature reports both benefits and costs. Drawing on the relational view and signaling theory, we develop and test a dual-mechanism framework explaining how proactive supplier list disclosure simultaneously erodes operational performance while enhancing innovation performance, and identify the conditions that amplify each effect. Design/methodology/approach Using panel data from Chinese listed firms from 2012 to 2024, we empirically test the relationships between supplier list disclosure and firms' operational and innovation performance. To validate the relational mechanism underlying disclosure's impact on operational performance, we test the moderating roles of supplier concentration and buyer competition. To validate the signaling mechanism underlying disclosure's impact on innovation performance, we test the moderating roles of media coverage and CSR performance. Findings The results suggest supplier list disclosure undermines firms' operational performance but enhances their innovation performance. The negative operational effect is amplified by higher supplier concentration and greater buyer competition, as these conditions increase the criticality and vulnerability of disclosed relational assets. The positive innovation effect is amplified by stronger media coverage and better CSR performance, which improve the visibility and credibility of the disclosure signal. These results are robust across alternative measures, model specifications, and identification strategies. Originality/value Our findings reconcile the longstanding tension between the documented benefits and costs of supply chain transparency by revealing the divergent performance consequences of supplier list disclosure. This study further contributes to the supply chain transparency and buyer-supplier governance literature by identifying key boundary conditions, thereby offering actionable guidance for designing optimal supplier list disclosure strategies.",International Journal of Operations &amp; Production Management,2026-09-15,journal-article,https://doi.org/10.1108/ijopm-01-2026-0033,1758-6593,International Journal of Operations and Production Management,OPS&TECH,Emerald,4,4,4
10.1177/09500170261462742,When Public-Sector Employment Becomes Unfriendly to Mothers: How State Control and the Market Economy Impede Mothering in State-Owned Enterprises in Post-Reform China,Lingxi Chen,"The Chinese University of Hong Kong, China","While prior studies portray public-sector work as mother-friendly, this study examines how the state, market and their interplay impede such work from accommodating mothering through work–family interface and gender regime theories. Drawing on an ethnography in a state-owned enterprise and interviews with 21 mothers experienced in working for state-owned companies in post-reform China, this research finds that state control and market economy operate as interrelated macrosystems that undermine the reconciliation of public-sector work and mothering by generating job demands incompatible with family demands, threatening employment security and weakening work resources supporting childcare. Tensions between public-sector employment and mothering manifest as work–to–family conflict or obstacles to achieving a family demand–work resource fit. This study contributes to scholarship on public-sector maternal employment by conceptualising how political and economic contexts create conundrums for mothers handling work and family within this employment segment. Policy implications are discussed.","Work, Employment and Society",2026-09-12,journal-article,https://doi.org/10.1177/09500170261462742,1469-8722,"Work, Employment and Society",HRM&EMP,SAGE,4,4,4
10.1007/s11192-026-05814-8,Hunting grounds for predatory publishers,Matti Keloharju; Roope Keloharju,,"Abstract Are some preprint platforms more attractive to predatory publishers than others? To explore this question, we analyze unsolicited messages received for a research paper spanning the social and health sciences. The paper was posted on two major preprint platforms: Research Square, which primarily serves the natural and health sciences, and the Social Science Research Network (SSRN), the leading platform for social sciences. Using an identification strategy that attributes differences in solicitation volume to platform-specific factors rather than the study’s characteristics, authors, or institutions, we find significant differences in the volume of predatory solicitations. Research Square received considerably more solicitations, mostly from non-social science disciplines such as clinical medicine and psychiatry. This suggests that predatory publishers not only target Research Square more frequently but are also attracted to disciplines with higher publication pressure and greater commercial potential. These findings provide researchers with a clearer understanding of the risks associated with different platforms and offer insights into avoiding predatory publishers.",Scientometrics,2026-09-12,journal-article,https://doi.org/10.1007/s11192-026-05814-8,1588-2861,Scientometrics,INNOV,Springer Nature,4,4,4
