doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1111/gove.70137,The Safety Tether: How China Manages Civil Society Through Lawfare,Timothy Hildebrandt; Blake Miller,Department of Social Policy London School of Economics and Political Science London UK; Department of Political Science University of Pennsylvania Philadelphia Pennsylvania USA,"ABSTRACT How do authoritarian regimes benefit from civil society organizations' expertise and capacity while mitigating the potential risks they pose? Using machine learning and interrupted time series modeling of an original custom‐annotated dataset of all historical NGO registrations in China, we find that NGO policy is unevenly implemented. This unevenness, however, is not random. China uses NGO registration policies to facilitate local risk utility tradeoffs in line with threat perceptions and governance needs. This, we argue, is a form of lawfare—using legal means to achieve political or repressive ends. Examining a 2013 policy shift, we find local governments relax sponsorship requirements more in policy domains with low state capacity and less where civil society poses a threat, tailoring national mandates to shape local conditions. We show how lawfare is a complex instrument providing local flexibility in repression and cooptation of civil society, under the guise of routine legal and administrative procedures.",Governance,2026-06-19,journal-article,https://doi.org/10.1111/gove.70137,1468-0491,Governance,PUB SEC,Wiley-Blackwell,4,4,3.0
10.1007/s10107-026-02383-9,Special issue: stochastic programming and distributionally robust optimization with decision-dependent uncertainty,Miguel Lejeune; Ward Romeijnders; Pavlo Krokhmal,,,Mathematical Programming,2026-06-20,journal-article,https://doi.org/10.1007/s10107-026-02383-9,1436-4646,Mathematical Programming,OR&MANSCI,Springer Nature,4,4,4
10.1080/00076791.2026.2650912,Managing legacy and change: New frontiers for theory and practice,Christopher A. Hartwell,ZHAW School of Management and Law,,Business History,2026-06-20,journal-article,https://doi.org/10.1080/00076791.2026.2650912,1743-7938,Business History,BUS HIST & ECON HIST,Taylor & Francis,4,4,3.0
