doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1080/14719037.2026.2692614,The impact of public agency representation on citizen perception in the face of technological discrimination,Younghyun Cho; James E. Wright; Gregory A. Porumbescu,"Florida State University, Tallahassee, FL, United States; Arizona State University, Phoenix, United States; Rutgers University-Newark, Newark, United States",,Public Management Review,2026-06-28,journal-article,https://doi.org/10.1080/14719037.2026.2692614,1471-9045,Public Management Review,PUB SEC,Taylor & Francis,4,4,3.0
10.1080/14719037.2026.2690424,When you make and buy: understanding service delivery portfolios in concurrent sourcing,Ming Li; Jiahuan Lu; Jianzhi Zhao; Yongkang Wang; Yiying Chen,University of International Business and Economics; Syracuse University; University of Exeter,,Public Management Review,2026-06-27,journal-article,https://doi.org/10.1080/14719037.2026.2690424,1471-9045,Public Management Review,PUB SEC,Taylor & Francis,4,4,3.0
10.1080/14719037.2026.2693266,How does ethics reform in government affect moral reasoning and perceived discretion in patronage-prone organizations?,Minsung Michael Kang; Don S. Lee; Soonae Park,"Kyung Hee University, Seoul, Korea (the Republic of); Korea University, Seoul, Korea (the Republic of); Seoul National University, Seoul, Korea (the Republic of)",,Public Management Review,2026-06-28,journal-article,https://doi.org/10.1080/14719037.2026.2693266,1471-9045,Public Management Review,PUB SEC,Taylor & Francis,4,4,3.0
10.1080/14719037.2026.2695792,Beyond co-creation: how non-profit organizations create public value in complex social challenges,Caitlin McMullin; Alessandro Sancino,Roskilde University; University of Milan,,Public Management Review,2026-06-28,journal-article,https://doi.org/10.1080/14719037.2026.2695792,1471-9045,Public Management Review,PUB SEC,Taylor & Francis,4,4,3.0
10.1093/ej/ueag080,The Emergence of the Child Quantity-Quality Tradeoff - insights from early modern academics,Thomas Baudin; David de la Croix,"IESEG School of Management, Univ. Lille, CNRS, UMR 9221 - LEM - Lille Economie Management, F-59000 Lille, France and IRES, UCLouvain ,; IRES/LIDAM, UCLouvain, Belgium and CEPR , Paris","Abstract Consider the transition out of a stagnant Malthusian system spearheaded by high-human-capital people. Individuals with a stronger preference for offspring quality may be the first to escape the Malthusian regime and adopt modern fertility behaviours (Galor and Moav 2002). To test this hypothesis, we examine the relationship between family size and human capital among academics in Northern Europe in the two centuries before the Industrial Revolution. We measure the human capital of academics using a novel approach based on their publications. We find that scholars with a higher number of publications than the median shifted from having more siblings to having fewer siblings in the first half of the 18th century. Estimating the parameters of an evolutionary growth model by indirect inference, we show how Malthusian constraints initially led the high human capital families to reproduce more, before being endogenously replaced by Beckerian constraints with a tradeoff between child quality and quantity. Our results support an extension of Galor and Moav’s (2002) approach, in which the decline of Malthusian constraints is linked to the accumulation of human capital during the 18th century.",The Economic Journal,2026-06-27,journal-article,https://doi.org/10.1093/ej/ueag080,1468-0297,Economic Journal,ECON,Wiley-Blackwell,4,4,4
