doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1080/02678373.2026.2722069,Leisure under lock: cognitive activation and motivation erosion as mechanisms undermining experiential quality of leisure time,Rosine Rutten; Wilken Wehrt,Maastricht University,,Work &amp; Stress,2026-09-19,journal-article,https://doi.org/10.1080/02678373.2026.2722069,1464-5335,Work and Stress,PSYCH (WOP-OB),Taylor & Francis,4,4,3.0
10.1177/10591478261493185,EXPRESS: Toward ‘Omniscient’ Supply Chains: Enabling and Incentivizing Sustainable Operations,Onesun Steve Yoo,,"Business norms have shifted markedly toward sustainability and social responsibility, placing increasing pressure on firms and investors to conduct comprehensive due diligence on sustainability impacts across entire value chains, as well as on regulators to enforce such standards. Despite this momentum, the sustainability transition is approaching the limits of both market and regulatory effectiveness, as a structural mismatch persists between the level of transparency society demands and the capacity of firms and regulators to reliably provide and enforce such information. The operations management research community is uniquely positioned to help avert potential market and regulatory failures by reducing compliance burdens and enhancing the effectiveness of regulatory enforcement—particularly through advancing “omniscient” supply chains and strengthening the business case for sustainability. This paper reviews prior research and outlines key directions aligned with current sustainability trends and the community’s research strengths. These include leveraging novel and repurposed data sources to improve granularity and address missing data challenges in life cycle assessment (LCA) and environmentally extended input–output (EEIO) analysis, as well as quantifying both tangible and intangible dimensions of socially responsible operations and the hidden competitive forces underlying industrial waste and inefficiencies. Such research has the potential to significantly influence contemporary business practice, and it is our collective responsibility to help drive this transformation.",Production and Operations Management,2026-09-18,journal-article,https://doi.org/10.1177/10591478261493185,1937-5956,Production and Operations Management,OPS&TECH,Wiley-Blackwell,4,4,4
10.1177/10591478261492770,EXPRESS: Cost-effectiveness of a network of lethal ovitraps for dengue control,Yvonne Huijun Zhu; Shuzhen Sim; Joel Aik; Joel Goh,,"One intervention recommended by the World Health Organization (WHO) to control the spread of dengue fever is a network of lethal ovitraps to capture dengue-carrying Aedes mosquitoes. This study introduces a framework to perform a cost-effectiveness analysis of this intervention that incorporates the substantial operational costs entailed in servicing the network, a factor that has been largely ignored in previous analyses. A vector-host compartmental model was used to model the population dynamics of mosquitoes and to estimate the disability-adjusted life years (DALYs) averted from this intervention. Operational costs were estimated through finding the minimum number of workers that had to be employed to travel to and service all the traps at a specified interval of time. We conducted numerical studies in Singapore and Bangkok to demonstrate how our framework can be used both retrospectively to analyze an existing ovitrap network, and prospectively to assess the cost-effectiveness of setting up a hypothetical ovitrap network. In Singapore, the existing 68,000-trap network was cost-effective over a wide range of service intervals, and the status quo interval of 14 days was near-optimal. In Bangkok, a more heterogeneous setting, three additional findings emerged: allocating traps based on population density was consistently cost-effective; district-specific service intervals improved cost-effectiveness by approximately 30% relative to common single interval; and only the 18 densest districts (of 50) could be made individually cost-effective, surfacing a tradeoff between aggregate cost-effectiveness and equitable coverage. These results illustrate the value of incorporating operational considerations into cost-effectiveness analyses of distributed public-health interventions.",Production and Operations Management,2026-09-18,journal-article,https://doi.org/10.1177/10591478261492770,1937-5956,Production and Operations Management,OPS&TECH,Wiley-Blackwell,4,4,4
