doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1177/00031224261453543,Religion Unbundled: Toward a Twenty-First-Century Paradigm for the Sociology of American Religion,Ruth Braunstein; Jaime Kucinskas; Brian Steensland; Daniel Winchester,Johns Hopkins University; Hamilton College; Indiana University Indianapolis; Purdue University,"Much recent sociological work on religion in the United States is written outside the field’s two established paradigms: secularization theory and the 1990s “religious economy” approach. Drawing together strands of recent theoretical innovation and contemporary religious developments that challenge the existing paradigms, we introduce elements of a twenty-first-century paradigm for the sociology of American religion. We argue that the shape-shifting nature of American religion (and secularity) can be productively conceptualized as an effect of unbundling—that is, a process by which religious goods once offered as a package by institutionalized religious authorities are now offered individually or repackaged into various hybrid and contested forms by a wide array of suppliers. We demonstrate the value of our approach by showing how two major religious traditions, Christianity and Buddhism, have become unbundled. In both cases, our approach positions us to apprehend a range of phenomena beyond traditional organized religion, as well as how organized religion adapts to fit this new de facto unbundled landscape. We offer criteria for delimiting the scope of this broader unbundled religious landscape, and discuss the implications of our approach for scholarship on religion, meaning making, and social change.",American Sociological Review,2026-07-08,journal-article,https://doi.org/10.1177/00031224261453543,1939-8271,American Sociological Review,SOC SCI,SAGE,4*,4*,4*
10.1111/puar.70160,Key Practices of Knowledge Mobilization in Local Policy Settings,Rosie Havers; Hannah Durrant; James Downe; Steve Martin,Wales Centre for Public Policy Cardiff University Cardiff UK,"ABSTRACT The literature on knowledge mobilization (KM) acknowledges the complex processes involved in the application of evidence to policy. However, the everyday activities employed by knowledge mobilizers to facilitate these processes have proved difficult to capture and codify. We address this gap in current understanding through empirical analysis of the practices used to mobilize knowledge in local policy making. We find that effective KM is characterized by relational interactions with diverse actors across research, policy and practice settings; constant and consistent engagement with the local and policy contexts in which evidence is being applied; and the integration of different types of knowledge (including research findings, professional expertise and lived experience) to collectively respond to policy and practice needs. These practices of KM have important implications for how evidence is defined, validated, and used by policymakers and practitioners.",Public Administration Review,2026-07-09,journal-article,https://doi.org/10.1111/puar.70160,1540-6210,Public Administration Review,PUB SEC,Wiley-Blackwell,4*,4*,4*
10.1037/apl0001400,Community weaving to address societal grand challenges: The case of mental health destigmatization.,Glen E. Kreiner; Dane Cannon; Devin J. Rapp; Trent A. Williams; Jennifer Wiseman,,,Journal of Applied Psychology,2026-07-09,journal-article,https://doi.org/10.1037/apl0001400,1939-1854,Journal of Applied Psychology,PSYCH (WOP-OB),APA,4*,4*,4*
10.1037/apl0001387,Unveiling the hidden hazards: Exploring the unintended consequences of legal changes on employee injuries.,Ke Michael Mai; Yupeng Lin; Keyuan Zhang; Rengong (Alex) Zhang,,,Journal of Applied Psychology,2026-07-09,journal-article,https://doi.org/10.1037/apl0001387,1939-1854,Journal of Applied Psychology,PSYCH (WOP-OB),APA,4*,4*,4*
10.1287/opre.2024.1362,Monotone Randomized Apportionment,José Correa; Paul Gölz; Ulrike Schmidt-Kraepelin; Jamie Tucker-Foltz; Victor Verdugo,"Department of Industrial Engineering, Universidad de Chile, Santiago 8370458, Chile; School of Operations Research and Information Engineering, Cornell University, Ithaca, New York 14850; Department of Mathematics and Computer Science, Eindhoven University of Technology, 5612 AE Eindhoven, Netherlands; Yale School of Management, Yale University, New Haven, Connecticut 06511; Institute for Mathematical and Computational Engineering, Pontificia Universidad Católica de Chile, Santiago 7820436, Chile; and Department of Industrial and Systems Engineering, Pontificia Universidad Católica de Chile, Santiago 7820436, Chile","Proportional apportionment is the fundamental task of translating vote or population shares into an integer allocation of seats. The work monotone randomized apportionment studies randomized apportionment rules that are ex ante proportional; each party receives, in expectation, its prescribed quota, whereas the realized allocation remains integral and respects the target house size. However, the correlations between the seats awarded to different parties may exhibit bizarre nonmonotonicities. When parties or voters care about joint events, such as whether a coalition of parties reaches a majority, these nonmonotonicities can cause paradoxes, including incentives for strategic voting. This work identifies Sampford’s method, a classical unequal-probability sampling scheme, as a principled randomized rounding procedure that rules out such nonmonotonicity paradoxes. In doing so, this work connects apportionment, dependent randomized rounding, and sampling theory, providing a rigorous probabilistic framework for fair seat allocation.",Operations Research,2026-07-09,journal-article,https://doi.org/10.1287/opre.2024.1362,1526-5463,Operations Research,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1287/mnsc.2024.07517,Vertical Patient Streaming in Emergency Departments,Arshya Feizi; Agni Orfanoudaki; Soroush Saghafian; Wayne A. Martini; Nicole Hodgson,"Harvard University, Cambridge, Massachusetts 02138; Oxford University, Oxford OX1 2JD, United Kingdom; Mayo Clinic, Scottsdale, Arizona 85259","Tackling hospital emergency department (ED) overcrowding is a paramount challenge for healthcare systems. To combat this issue, an innovative approach is to identify patients who can be served vertically (i.e., in a seated position) and route them to a dedicated area termed the vertical processing pathway (VPP). Successfully implementing this design requires understanding which patients should be routed to the VPP and when. Currently, the decision to leverage the VPP is made in an ad hoc fashion. To assist our partner hospital and other EDs in capturing the value of the VPP, we develop a machine learning model that provides personalized risk scores predicting whether each arriving patient needs an ED bed. We use these scores as input to a stochastic patient flow model and analytically characterize the optimal VPP policy that minimizes length of stay. We then combine our results to derive an interpretable VPP patient streaming protocol suitable for implementation in practice and conduct a before-and-after experiment in which we leverage empirical analyses to evaluate the impact of integrating it into practice. The implemented protocol led to an 11-minute (4.2%) reduction in ED length of stay in our partner hospital without any adverse effect on quality-of-care outcomes. This effect was statistically significant and remained robust after controlling for various confounding factors and potential sources of endogeneity. Our VPP protocol can also be utilized in other EDs, offering operational improvements without requiring additional resources. This paper was accepted by Stefan Scholtes, healthcare management. Funding: S. Saghafian received financial support from the NSF [Grant CMMI-15 62645], “Data-Driven Management of Post-Transplant Medications,” which partially enabled this work, as well as funding and support from the Harvard Data Science Initiative and the Harvard Mossavar-Rahmani Center for Business and Government. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2024.07517 .",Management Science,2026-07-09,journal-article,https://doi.org/10.1287/mnsc.2024.07517,1526-5501,Management Science,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1287/mnsc.2022.02462,"Algorithmic Pricing, Price Wars, and Tacit Collusion: Evidence from E-Commerce",Leon Musolff,"Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104","As the economy digitizes, menu costs fall, and firms can more easily monitor prices. These trends have led to the rise of automated pricing (and repricing) tools. We employ a novel e-commerce data set to examine the effect of algorithmic pricing in the wild. Evidence from an event study suggests that firms that start employing repricing tools drop their prices by 16.93%, with market prices falling by 9.67%. However, algorithmic pricing companies have developed “resetting” strategies (which regularly raise prices in the hope that competitors will follow) in order to avoid stark Bertrand-Nash competition. We find that these strategies are effective at coaxing competitors to raise their prices; when a resetting strategy is adopted on a market with less than six serious competitors, both competitor prices and market prices eventually increase by 11.4%. Although the resulting patterns of cycling prices are reminiscent of Maskin-Tirole’s Edgeworth cycles, a model of equilibrium in delegated strategies fits the data better. This model suggests that the average price over the cycle will be the monopoly price. Moreover, if the available repricing technologies remain fixed, cycling and prices could rise significantly. However, cycling is still relatively rare in the data, even when studying a convenience sample of products with at least one merchant using a repricing tool. This paper was accepted by Omar Besbes, revenue management and market analytics. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2022.02462 .",Management Science,2026-07-09,journal-article,https://doi.org/10.1287/mnsc.2022.02462,1526-5501,Management Science,OR&MANSCI,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.1177/00018392261457399,“Work Optional”: The Adoption and Enactment of a New Work Ideal in the Financial Independence Retire Early Community,Laura Sonday,The University of North Carolina at Chapel Hill,"This study examines how people change their relationship with work through the adoption and enactment of a new work ideal: a novel aspiration for what constitutes an optimal work life. Drawing on two years of ethnographic observation of the Financial Independence Retire Early (FIRE) community, two rounds of interviews with 55 informants, and analysis of archival materials, I identify four community tactics that informants used to promote a new “work optional” ideal rooted in financial freedom. I then show how the transformational capacity of this ideal hinged on individual perceptions of its appeal and attainability, which evolved via an interplay of group influence and individual sensemaking. Enactment of the new work ideal ranged from radical recalibration to marginal modification of working life. This study explains not only how people are persuaded to adopt a new ideal for work but also why that ideal varies in its transformative impact. I discuss the implications for research on the ideal worker norm, the meaning of work, and ideological conversion.",Administrative Science Quarterly,2026-07-09,journal-article,https://doi.org/10.1177/00018392261457399,1930-3815,Administrative Science Quarterly,ETHICS-CSR-MAN,Cornell University Press,4*,4*,4*
10.1111/risa.70307,What if the Risk Manager is Malevolent?,Zachary A. Collier; Tiana Kaleeva,Department of Management Radford University Radford VA USA; Postdoctoral Researcher Sofia Bulgaria,"ABSTRACT Risk is a fundamental aspect of human endeavors, and risk managers serve an indispensable role within organizations and society. Risk managers engage in identification, assessment, communication, and control of numerous types of risks. These activities support decision‐making about the relative benefits and risks of various courses of action in the pursuit of organizational or societal objectives. Risk managers, in their role as advisors on topics that potentially could result in negative outcomes, play an important part in risk‐based decision‐making. This perspective paper explores the situation in which the risk manager is not a neutral provider of risk‐related information but rather is actively malevolent, seeking to cause losses and mayhem by intentionally weaponizing the risk management process itself. We discuss the general role of the risk manager as well as how malevolence can manifest itself within a risk management context. Two brief vignettes on flood risk management and financial portfolio management are given to illustrate the potential impacts of a malevolent risk manager. Finally, we offer some potential countermeasures, attempting to answer the question, “Who manages the risks of the risk managers?”",Risk Analysis,2026-07-09,journal-article,https://doi.org/10.1111/risa.70307,1539-6924,Risk Analysis,SOC SCI,Wiley-Blackwell,4,4,4
10.1093/jeg/lbag045,Europe’s two towers: the uneven regional geography of telecommunication standard essential patents,Bernardo S Buarque; Ronald B Davies; Ryan M Hynes; Gianluca Tarasconi; Dieter F Kogler,"Te Pūnaha Matatini , Auckland 1010,; Motu Economic and Public Policy Research , Wellington 6011,; School of Economics, University College Dublin , Belfield, Dublin 4 , Dublin,; Skatteforsk—Centre for Tax Research , 1433 Ås,; Spatial Dynamics Lab, University College Dublin , Belfield, Dublin 4 , Dublin,; ipQuants AG , Bahnhofstrasse 28 , Schaffhausen 8200,; School of Geography & Spatial Dynamics Lab, University College Dublin , Belfield, Dublin 4 , Dublin,","Abstract This paper explores the role of Standard Essential Patents (SEPs) in shaping technological development and regional innovation in Europe’s telecommunications sector. Results reveal strong geographic concentration: Helsinki and Stockholm account for one-third of all cellular SEPs. Unlike other technologies, SEP distribution does not scale with population or prior technological expertise. Findings suggest a “rich-get-richer” dynamic where early leadership reinforces future dominance; however, this advantage weakens across technological generations. This study offers new insights into standardization’s spatial dynamics and underscores the need for long-term perspectives when modeling technological competition and diffusion.",Journal of Economic Geography,2026-07-09,journal-article,https://doi.org/10.1093/jeg/lbag045,1468-2710,Journal of Economic Geography,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Oxford University Press,4,4,4
