doi,title,authors,affiliations,abstract,journal,published_date,crossref_type,url,source_issn,abs_journal_title,abs_field,abs_publisher,abs_ajg2024,abs_ajg2021,abs_ajg2018
10.1177/10422587261470045,Are All Patents Equal? How Patent Attributes Shape Market Reactions to Family and Nonfamily Firm Innovation,Kimberly A. Eddleston; Francesco Chirico; Pankaj C. Patel,"Northeastern University, Boston, MA, USA; Macquarie University – Macquarie University Innovation, Strategy and Entrepreneurship (ISE) Research Centre, Sydney, NSW, Australia; Jonkoping University – Centre for Family Entrepreneurship and Ownership (CeFEO), Sweden; Villanova University, PA, USA","Integrating family firm innovation research with signaling theory, we develop a framework explaining market reactions to patents granted to family versus nonfamily firms. Using a U.S. dataset of 52,241 patents from 2014 to 2018, we find the stock market reacts more positively to patents granted to family firms than nonfamily firms. We then examine reactions to radical versus incremental patents. Patents reflecting radical innovation, measured by novelty and pedigree, create greater market value for family firms than nonfamily firms, although the pedigree effect is only marginally significant. By contrast, patents reflecting incremental innovation, measured by temporal depth, have little effect on nonfamily firms’ market value but reduce family firms’ market value.",Entrepreneurship Theory and Practice,2026-09-07,journal-article,https://doi.org/10.1177/10422587261470045,1540-6520,Entrepreneurship Theory and Practice,ENT-SBM,Wiley-Blackwell,4*,4,4
10.1002/joom.70059,Issue Information,,,,Journal of Operations Management,2026-09-08,journal-article,https://doi.org/10.1002/joom.70059,1873-1317,Journal of Operations Management,OPS&TECH,Wiley-Blackwell,4*,4*,4*
10.1287/isre.2026.editorial.v37.n4,Computational Creativity in the AI Era: A Research Agenda for Information Systems,Min Ding; Ram Gopal; Ulrike Schultze; D. J. Wu,"Pennsylvania State University, University Park, Pennsylvania 16802; The University of Warwick, Coventry CV4 7AL, United Kingdom; University of Groningen, 9712 CP Groningen, Netherlands; Georgia Institute of Technology, Atlanta, Georgia 30332","This editorial presents computational creativity as a durable research program for Information Systems. Defining creativity as a structured, instrumentable, and improvable process of search, recombination, evaluation, and realization, we conceptualize computational creativity as being concerned with computational systems that model, simulate, enact, or augment the creative behavior of human creators. The five articles in this Special Issue show that the promise of computational systems—in particular, generative AI—lies in configuring human and machine agency so that creative work produces ideas and artifacts that are deemed creative—that is, novel and useful—while also safeguarding the generative, effortful, accountable, and socially meaningful nature of creativity. We translate these findings into an IS research agenda focused on process instrumentation, diversity-preserving design, agency-sensitive governance, organizational capability building for human-AI creative systems, and responsible computational creativity. The core challenge is to engineer the practices of computational creativity without forfeiting either the novelty or usefulness of the output, or human agency.",Information Systems Research,2026-09-08,journal-article,https://doi.org/10.1287/isre.2026.editorial.v37.n4,1526-5536,Information Systems Research,INFO MAN,Institute for Operations Research and the Management Sciences,4*,4*,4*
10.5465/amj.2024.0294,The Role of Emotions in Engendering Commitment to an Organizational Purpose,Matthew Hurst; Davide Nicolini; Rene Wiedner,Università della Svizzera Italiana and University of Warwick; University of Warwick and BI Norwegian Business School; University of Warwick,,Academy of Management Journal,2026-09-08,journal-article,https://doi.org/10.5465/amj.2024.0294,1948-0989,Academy of Management Journal,ETHICS-CSR-MAN,Academy of Management,4*,4*,4*
10.1177/00380385261478763,Coloniality of care: Indigenous autonomy and the structuring of contemporary health regimes in Chile,Dana Brablec,"University of Amsterdam, Netherlands","This article analyses intercultural health in Chile as a contested institutional regime through which colonial relations are reorganised rather than dismantled. Drawing on long-term, multi-sited ethnographic research conducted between 2016 and 2025, and informed by sociological approaches to governance, coloniality and the politics of recognition, it examines how Mapuche-Indigenous actors engage with state-led intercultural health programmes and how these arrangements structure relations of knowledge, authority and care. The analysis suggests that while institutionalised interculturality has seemingly reduced overt discrimination and expanded access to services, it has also subordinated Indigenous knowledge within bureaucratic and biomedical frameworks. At the same time, the Makewe Intercultural Hospital illustrates how interculturality can be reworked as an Indigenous-led project of institutional autonomy grounded in territorial governance, collective organisation and epistemic plurality. Although materially constrained and exceptional, Makewe illuminates the conditions under which alternative regimes of care can emerge within, yet in tension with, state health systems.",Sociology,2026-09-08,journal-article,https://doi.org/10.1177/00380385261478763,1469-8684,Sociology,SOC SCI,SAGE,4,4,4
10.1177/00380385261452994,Beyond stereotypes: Examining the social backgrounds and life trajectories of women in sex work,Stefan B. Andrade; Theresa D. Henriksen,"The Danish Center for Social Science Research, Copenhagen, Denmark","The question of who engages in sex work continues to attract attention. While recent research emphasises the heterogeneity of people who sell sex, little is known about how sex workers’ social backgrounds and life trajectories compare with those of their non-sex-worker peers. Applying a life-course perspective, we combine police records and social service registers with administrative data from Statistics Denmark to analyse the social backgrounds and life trajectories of 2478 female sex workers. Using latent class models, we assess social problems across childhood, adolescence and adulthood. Results reveal substantial heterogeneity, with most sex workers experiencing few problems while a small subgroup face elevated risks of mental health issues, crime, victimisation, substance misuse and homelessness. Analyses show that those with the most complex problems often come from disadvantaged families. Comparisons with two control groups highlight both similarities in and differences between the life trajectories of sex workers and other women.",Sociology,2026-09-08,journal-article,https://doi.org/10.1177/00380385261452994,1469-8684,Sociology,SOC SCI,SAGE,4,4,4
10.1080/00343404.2026.2718331,Beyond agglomeration: putting the ‘place’ back in place-based policy for ‘left behind’ regions,Grete Gansauer; Stefania Fiorentino,University of Wyoming; University of Cambridge,,Regional Studies,2026-09-08,journal-article,https://doi.org/10.1080/00343404.2026.2718331,1360-0591,Regional Studies,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Taylor & Francis,4,4,3.0
10.1080/00343404.2026.2718333,European Cohesion Policy in mitigating development traps: the role of R&amp;D intensity,Lubica Stiblarova,Technical University of Kosice,,Regional Studies,2026-09-08,journal-article,https://doi.org/10.1080/00343404.2026.2718333,1360-0591,Regional Studies,"REGIONAL STUDIES, PLANNING AND ENVIRONMENT",Taylor & Francis,4,4,3.0
10.1080/14719037.2026.2725793,When tasks feel unjustified: effects of illegitimate tasks on public servants’ citizen-oriented boundary-spanning behaviours,Nhung Nguyen; Luu Trong Tuan; Diep Nguyen; Dinh Cong Khai; Tuyen Nguyen,"Northumbria University; Sunway University; The University of Newcastle; Honours College, University of Economics Ho Chi Minh City, Vietnam; University of Economics (UEH); Cai Ngang Public Administrative Service Center",,Public Management Review,2026-09-07,journal-article,https://doi.org/10.1080/14719037.2026.2725793,1471-9045,Public Management Review,PUB SEC,Taylor & Francis,4,4,3.0
10.1080/14719037.2026.2729794,A fish rots from the head down: unpacking the trickle-down effect of leaders’ unethical pro-organizational behaviour (UPB) in the Chinese public sector,Cheng Chen; Shuwei Zhang; Peng Wen; Yiting Zhang,Huazhong University of Science & Technology; Sun Yat-sen University; Central China Normal University,,Public Management Review,2026-09-08,journal-article,https://doi.org/10.1080/14719037.2026.2729794,1471-9045,Public Management Review,PUB SEC,Taylor & Francis,4,4,3.0
